baryon_density,pressure/c2,energy_density/c2
4.980000000000001e13,3.730969178820839e10,5.038732849913314e13
5.3120000000000016e13,4.577537687463632e10,5.374923828312363e13
5.6440000000000016e13,5.591821364454297e10,5.711172810509146e13
5.9760000000000016e13,6.78826867928903e10,6.047486677615158e13
6.308000000000002e13,8.180748457021045e10,6.383872333031421e13
6.64e13,9.782570913931036e10,6.720336668888997e13
6.972000000000001e13,1.1606510022188414e11,7.056886540306794e13
7.304e13,1.3664826418973613e11,7.393528745646933e13
7.636000000000002e13,1.5969290338507968e11,7.730270011412042e13
7.968000000000002e13,1.85312042093428e11,8.067116980764217e13
8.300000000000002e13,2.1361424681995312e11,8.404076204896472e13
8.632000000000002e13,2.44703839393895e11,8.741154136652092e13
8.964000000000002e13,2.7868110194267365e11,9.078357125933395e13
9.296000000000003e13,3.156424732533789e11,9.415691416536761e13
9.628000000000003e13,3.55680736285752e11,9.753163144126016e13
9.960000000000003e13,3.98885196833072e11,1.0090778335117789e14
1.0292000000000003e14,4.4534185343878314e11,1.0428542906298031e14
1.0624000000000003e14,4.951335588006497e11,1.0766462665022705e14
1.0956000000000003e14,5.48340172935995e11,1.1104543309884062e14
1.1288000000000003e14,6.050387084208655e11,1.1442790431751755e14
1.1620000000000003e14,6.653034680611691e11,1.1781209515104219e14
1.1952000000000003e14,7.292061753205159e11,1.2119805939593778e14
1.2284000000000005e14,7.968160978954635e11,1.2458584981788758e14
1.2616000000000005e14,8.682001647514753e11,1.2797551817054706e14
1.2948000000000005e14,9.434230769901816e11,1.3136711521534758e14
1.3280000000000005e14,1.0225474128479767e12,1.3476069074206631e14
1.3612000000000005e14,1.1056337271853525e12,1.3815629358987264e14
1.3944000000000006e14,1.192740645719541e12,1.4155397166869853e14
1.4276000000000006e14,1.2839249543417676e12,1.4495377198074234e14
1.4608000000000006e14,1.3792416837434148e12,1.4835574064202088e14
1.4940000000000006e14,1.478744189659912e12,1.5175992290380634e14
1.5272000000000006e14,1.5824842289350078e12,1.5516636317391456e14
1.5604000000000006e14,1.690512031665601e12,1.5857510503774456e14
1.5936000000000006e14,1.802876369639725e12,1.6198619127902634e14
1.6268000000000006e14,1.9196246212684766e12,1.653996639002233e14
1.660000000000001e14,2.0408028332050745e12,1.688155641425688e14
1.693200000000001e14,2.166455778849166e12,1.7223393250568978e14
1.726400000000001e14,2.2966270138922837e12,1.7565480876682666e14
1.759600000000001e14,2.4313589290720117e12,1.790782319995901e14
1.792800000000001e14,2.5706928002911133e12,1.825042405922998e14
1.826000000000001e14,2.714668836241824e12,1.859328722658469e14
1.859200000000001e14,2.863326223671e12,1.8936416409112028e14
1.892400000000001e14,3.0167031704137393e12,1.9279815250596384e14
1.925600000000001e14,3.174836946317895e12,1.96234873331682e14
1.958800000000001e14,3.337763922162111e12,1.9967436178910028e14
1.992000000000001e14,3.505519606695812e12,2.0311665251417322e14
2.0252000000000012e14,3.6781386818695034e12,2.0656177957316703e14
2.0584000000000012e14,3.855655036383603e12,2.1000977647738978e14
2.091600000000001e14,4.037543154331965e12,2.134599338367436e14
2.124800000000001e14,4.221308253633739e12,2.1690891646502134e14
2.158000000000001e14,4.408253943207263e12,2.2035843184166612e14
2.191200000000001e14,4.598846343364735e12,2.2380908073108178e14
2.224400000000001e14,4.793306110535141e12,2.2726113969383116e14
2.257600000000001e14,4.991773909721336e12,2.307147800738234e14
2.2908000000000012e14,5.194352322398133e12,2.3417012335401147e14
2.3240000000000012e14,5.401122375291193e12,2.3762726295204738e14
2.3572000000000012e14,5.612151549837874e12,2.410862747638447e14
2.3904000000000012e14,5.827498184176168e12,2.4454722294774603e14
2.4236000000000012e14,6.047214110912943e12,2.4801016338356897e14
2.4568000000000012e14,6.271346341396246e12,2.514751458763289e14
2.4900000000000012e14,6.499938195088554e12,2.5494221563016e14
2.5232000000000012e14,6.733030086907332e12,2.5841141427292166e14
2.5564000000000012e14,6.970660093907969e12,2.6188278059121334e14
2.5896000000000012e14,7.212864374122217e12,2.6535635107163356e14
2.6228000000000016e14,7.459677483192632e12,2.6883216030827647e14
2.6560000000000016e14,7.711132618465274e12,2.723102413153937e14
2.6892000000000016e14,7.967261810367431e12,2.7579062577129356e14
2.7224000000000016e14,8.228096074732525e12,2.7927334421135462e14
2.7556000000000016e14,8.493665535662723e12,2.8275842618276494e14
