baryon_density,pressure/c2,energy_density/c2
1.000000e+01,1.000000e+01,3.686578e-12
1.122018e+01,1.122018e+01,6.234227e-12
1.258925e+01,1.258925e+01,1.044701e-11
1.412538e+01,1.412538e+01,1.735249e-11
1.584893e+01,1.584893e+01,2.857571e-11
1.778279e+01,1.778279e+01,4.666594e-11
1.995262e+01,1.995262e+01,7.559089e-11
2.238721e+01,2.238721e+01,1.214788e-10
2.511886e+01,2.511886e+01,1.937248e-10
2.818383e+01,2.818383e+01,3.066284e-10
3.162278e+01,3.162278e+01,4.818013e-10
3.548134e+01,3.548134e+01,7.516841e-10
3.981072e+01,3.981072e+01,1.164648e-09
4.466836e+01,4.466836e+01,1.792355e-09
5.011872e+01,5.011872e+01,2.740303e-09
5.623413e+01,5.623413e+01,4.162854e-09
6.309573e+01,6.309573e+01,6.284525e-09
7.079458e+01,7.079458e+01,9.429984e-09
7.943282e+01,7.943282e+01,1.406607e-08
8.912509e+01,8.912509e+01,2.086038e-08
1.000000e+02,1.000000e+02,3.076249e-08
1.122018e+02,1.122018e+02,4.511603e-08
1.258925e+02,1.258925e+02,6.581260e-08
1.412538e+02,1.412538e+02,9.550205e-08
1.584893e+02,1.584893e+02,1.378786e-07
1.778279e+02,1.778279e+02,1.980684e-07
1.995262e+02,1.995262e+02,2.831518e-07
2.238721e+02,2.238721e+02,4.028652e-07
2.511886e+02,2.511886e+02,5.705391e-07
2.818383e+02,2.818383e+02,8.043478e-07
3.162278e+02,3.162278e+02,1.128967e-06
3.548134e+02,3.548134e+02,1.577765e-06
3.981072e+02,3.981072e+02,2.195689e-06
4.466836e+02,4.466836e+02,3.043050e-06
5.011872e+02,5.011872e+02,4.200474e-06
5.623413e+02,5.623413e+02,5.775354e-06
6.309573e+02,6.309573e+02,7.910226e-06
7.079458e+02,7.079458e+02,1.079362e-05
7.943282e+02,7.943282e+02,1.467406e-05
8.912509e+02,8.912509e+02,1.987807e-05
9.999999e+02,1.000000e+03,2.683329e-05
1.122018e+03,1.122018e+03,3.609802e-05
1.258925e+03,1.258925e+03,4.839894e-05
1.412537e+03,1.412538e+03,6.467902e-05
1.584893e+03,1.584893e+03,8.615842e-05
1.778279e+03,1.778279e+03,1.144114e-04
1.995262e+03,1.995262e+03,1.514635e-04
2.238721e+03,2.238721e+03,1.999139e-04
2.511886e+03,2.511886e+03,2.630889e-04
2.818382e+03,2.818383e+03,3.452345e-04
3.162277e+03,3.162278e+03,4.517574e-04
3.548133e+03,3.548134e+03,5.895243e-04
3.981071e+03,3.981072e+03,7.672367e-04
4.466835e+03,4.466836e+03,9.958941e-04
5.011871e+03,5.011872e+03,1.289370e-03
5.623412e+03,5.623413e+03,1.665123e-03
6.309571e+03,6.309573e+03,2.145076e-03
7.079455e+03,7.079458e+03,2.756698e-03
7.943279e+03,7.943282e+03,3.534341e-03
8.912505e+03,8.912509e+03,4.520866e-03
9.999995e+03,1.000000e+04,5.769658e-03
1.122018e+04,1.122018e+04,7.347073e-03
1.258925e+04,1.258925e+04,9.335437e-03
1.412536e+04,1.412538e+04,1.183670e-02
1.584892e+04,1.584893e+04,1.497688e-02
1.778278e+04,1.778279e+04,1.891150e-02
1.995260e+04,1.995262e+04,2.383212e-02
2.238718e+04,2.238721e+04,2.997432e-02
2.511883e+04,2.511886e+04,3.762735e-02
2.818379e+04,2.818383e+04,4.714576e-02
3.162272e+04,3.162278e+04,5.896348e-02
3.548127e+04,3.548134e+04,7.361080e-02
3.981064e+04,3.981072e+04,9.173477e-02
4.466826e+04,4.466836e+04,1.141238e-01
5.011860e+04,5.011872e+04,1.417370e-01
5.623397e+04,5.623413e+04,1.757399e-01
6.309554e+04,6.309573e+04,2.175467e-01
7.079433e+04,7.079458e+04,2.688708e-01
7.943251e+04,7.943282e+04,3.317860e-01
8.912471e+04,8.912509e+04,4.087987e-01
9.999952e+04,1.000000e+05,5.029346e-01
1.122012e+05,1.122018e+05,6.178418e-01
1.258918e+05,1.258925e+05,7.579137e-01
1.412528e+05,1.412538e+05,9.284353e-01
1.584882e+05,1.584893e+05,1.135757e+00
1.778265e+05,1.778279e+05,1.387500e+00
1.995244e+05,1.995262e+05,1.692803e+00
2.238699e+05,2.238721e+05,2.062612e+00
2.511859e+05,2.511886e+05,2.510022e+00
2.818349e+05,2.818383e+05,3.050688e+00
3.162236e+05,3.162278e+05,3.703302e+00
3.548082e+05,3.548134e+05,4.490167e+00
3.981008e+05,3.981072e+05,5.437864e+00
4.466757e+05,4.466836e+05,6.578048e+00
5.011775e+05,5.011872e+05,7.948381e+00
5.623293e+05,5.623413e+05,9.593636e+00
6.309426e+05,6.309573e+05,1.156699e+01
7.079277e+05,7.079458e+05,1.393157e+01
7.943060e+05,7.943282e+05,1.676221e+01
8.912237e+05,8.912509e+05,2.014759e+01
9.999667e+05,1.000000e+06,2.419273e+01
1.121978e+06,1.122018e+06,2.902188e+01
1.258876e+06,1.258925e+06,3.478191e+01
1.412477e+06,1.412538e+06,4.164639e+01
1.584819e+06,1.584893e+06,4.982021e+01
1.778190e+06,1.778279e+06,5.954513e+01
1.995153e+06,1.995262e+06,7.110621e+01
2.238589e+06,2.238721e+06,8.483934e+01
2.511726e+06,2.511886e+06,1.011401e+02
2.818189e+06,2.818383e+06,1.204740e+02
3.162043e+06,3.162278e+06,1.433886e+02
3.547850e+06,3.548134e+06,1.705275e+02
3.980730e+06,3.981072e+06,2.026471e+02
4.466424e+06,4.466836e+06,2.406354e+02
5.011377e+06,5.011872e+06,2.855344e+02
5.622818e+06,5.623413e+06,3.385668e+02
6.308859e+06,6.309573e+06,4.011657e+02
7.078601e+06,7.079458e+06,4.750107e+02
7.942256e+06,7.943282e+06,5.620690e+02
8.911281e+06,8.912509e+06,6.646438e+02
9.998532e+06,1.000000e+07,7.854302e+02
1.121843e+07,1.122018e+07,9.275806e+02
1.258716e+07,1.258925e+07,1.094781e+03
1.412288e+07,1.412538e+07,1.291339e+03
1.584596e+07,1.584893e+07,1.522288e+03
1.777926e+07,1.778279e+07,1.793503e+03
1.994842e+07,1.995262e+07,2.111846e+03
2.238222e+07,2.238721e+07,2.485322e+03
2.511294e+07,2.511886e+07,2.923269e+03
2.817680e+07,2.818383e+07,3.436576e+03
3.161445e+07,3.162278e+07,4.037937e+03
3.547147e+07,3.548134e+07,4.742144e+03
3.979904e+07,3.981072e+07,5.566427e+03
