r,P
6.7232e+13,1.6213e+32
1.0101e+14,4.8916e+32
1.3495e+14,1.1390e+33
1.6914e+14,2.2044e+33
2.0361e+14,3.7258e+33
2.3840e+14,5.6872e+33
2.7354e+14,8.1769e+33
3.0903e+14,1.0528e+34
3.4482e+14,1.2910e+34
3.8086e+14,1.5867e+34
4.1727e+14,1.9456e+34
4.5403e+14,2.3708e+34
4.9122e+14,2.8650e+34
5.2879e+14,3.4314e+34
5.6682e+14,4.0714e+34
6.0531e+14,4.7866e+34
6.4429e+14,5.5793e+34
6.8379e+14,6.4505e+34
7.2383e+14,7.3893e+34
7.6439e+14,8.2933e+34
8.0541e+14,9.1960e+34
8.4689e+14,1.0082e+35
8.8882e+14,1.0998e+35
9.3118e+14,1.1952e+35
9.7399e+14,1.2948e+35
1.0172e+15,1.3989e+35
1.0609e+15,1.5076e+35
1.1050e+15,1.6212e+35
1.1495e+15,1.7396e+35
1.1945e+15,1.8630e+35
1.2400e+15,1.9915e+35
1.2859e+15,2.1251e+35
1.3323e+15,2.2638e+35
1.3791e+15,2.4078e+35
1.4264e+15,2.5570e+35
1.4742e+15,2.7065e+35
1.5224e+15,2.8572e+35
1.5711e+15,3.0111e+35
1.6202e+15,3.1683e+35
1.6697e+15,3.3296e+35
1.7197e+15,3.4950e+35
1.7702e+15,3.6644e+35
1.8211e+15,3.8384e+35
1.8724e+15,4.0135e+35
1.9241e+15,4.1855e+35
1.9763e+15,4.3594e+35
2.0289e+15,4.5353e+35
2.0819e+15,4.7120e+35
2.1353e+15,4.8907e+35
2.1891e+15,5.0725e+35
2.2433e+15,5.2575e+35
2.2979e+15,5.4459e+35
2.3529e+15,5.6382e+35
2.4083e+15,5.8339e+35
2.4641e+15,6.0334e+35
2.5203e+15,6.2374e+35
2.5769e+15,6.4442e+35
2.6339e+15,6.6525e+35
2.6913e+15,6.8638e+35
2.7491e+15,7.0781e+35
2.8108e+15,7.2957e+35
2.8733e+15,7.5177e+35
2.9361e+15,7.7431e+35
2.9994e+15,7.9730e+35
3.0631e+15,8.2067e+35
3.1272e+15,8.4448e+35
3.1918e+15,8.6870e+35
3.2568e+15,8.9333e+35
3.3221e+15,9.1840e+35
3.3879e+15,9.4395e+35
3.4541e+15,9.6991e+35
3.5208e+15,9.9635e+35
3.5877e+15,1.0232e+36
3.6552e+15,1.0505e+36
3.7227e+15,1.0783e+36
3.7910e+15,1.1066e+36
3.8596e+15,1.1353e+36
3.9286e+15,1.1645e+36
3.9982e+15,1.1941e+36
4.0679e+15,1.2242e+36
