r,P
5.041e+13,3.581e+31
1.009e+14,3.148e+32
1.518e+14,1.237e+33
2.031e+14,3.124e+33
2.549e+14,6.126e+33
3.073e+14,1.040e+34
3.604e+14,1.624e+34
4.144e+14,2.389e+34
4.694e+14,3.360e+34
5.263e+14,4.261e+34
5.846e+14,5.122e+34
6.440e+14,6.107e+34
7.044e+14,7.236e+34
7.658e+14,8.417e+34
8.282e+14,9.588e+34
8.914e+14,1.083e+35
9.556e+14,1.215e+35
1.021e+15,1.357e+35
1.087e+15,1.508e+35
1.153e+15,1.670e+35
1.221e+15,1.842e+35 
1.290e+15,2.024e+35 
1.359e+15,2.217e+35 
1.430e+15,2.407e+35 
1.501e+15,2.597e+35 
1.573e+15,2.791e+35 
1.646e+15,2.991e+35 
1.720e+15,3.197e+35 
1.794e+15,3.408e+35 
1.870e+15,3.596e+35 
1.946e+15,3.773e+35 
2.023e+15,3.950e+35 
2.100e+15,4.125e+35 
2.178e+15,4.301e+35 
2.256e+15,4.478e+35 
2.336e+15,4.657e+35 
2.416e+15,4.837e+35 
2.496e+15,5.019e+35 
2.577e+15,5.202e+35 
2.659e+15,5.386e+35
