baryon_density,pressure/c2,energy_density/c2
6.6400000166,1.1235829130218e-13,7.757489681744
7.8518001826,1.1235828891526e-12,7.817163039782
7.901599834,1.1235828891526e-11,7.856945019891
8.1506001992,1.1235829508147e-10,8.105582141962
11.6034000996,1.346083623109e-9,11.53678039782
16.4339999336,1.5574453632507e-8,16.310620457493
45.151999834,1.8911965556839e-7,44.85420619346
210.82,6.474520579564e-6,210.8445980109
1150.38003154,0.0002113617779346,1143.7325099455
10449.7001826,0.010839799300327,10383.10239782
26244.598506,0.0552671435,26077.10080109
65935.202656,0.2704380240654,65511.00670981
165601.598174,1.2804433350436,164498.57159128
415996.02158,5.858297200654,413334.9879564
1.04480396182e6,25.78669180327,1.0383101562398e6
2.62446e6,108.52131959019,2.607710159673e6
6.5935200996e6,435.0758549346,6.552095519346e6
8.2999999502e6,585.0539710654,8.247803110218e6
1.65601593028e7,1596.3920208147,1.6459801724251e7
3.3033999834e7,4264.033650109,3.2840041e7
6.5935199502e7,11191.471901853,6.553090129019e7
1.3153840498e8,28969.25180327,1.3078333037057e8
2.6244599004e8,74269.01261744,2.609699100545e8
3.3033999834e8,97207.31620436,3.285993319346e8
5.2372998174e8,181220.93230763,5.208458071526e8
8.2999999834e8,336973.4409455,8.255759430654e8
1.04480400996e9,459342.8510654,1.0393047261308e9
1.31538397842e9,560230.0189782,1.3088277761308e9
1.6560159253e9,763158.0188801,1.6479693320981e9
2.6244599834e9,1.4150457678474e6,2.611688379564e9
4.159960166e9,2.621036990436e6,4.141306020981e9
6.5935197178e9,4.852608260545e6,6.56502474891e9
8.2999997842e9,6.298684079891e6,8.266699580109e9
1.04480397178e10,8.568246861635e6,1.0402992980109e10
1.31538397842e10,1.1658712148256e7,1.310816919891e10
1.656016e10,1.5852531105422e7,1.6499584977384e10
2.08496e10,2.155985450218e7,2.0786095e10
2.6244598672e10,2.784541070109e7,2.616661010218e10
3.3034000996e10,3.786848639673e7,3.29494415e10
4.1599600996e10,5.148387649346e7,4.149262580109e10
5.2373000166e10,6.618133460327e7,5.225365600545e10
6.5935197178e10,8.998688240872e7,6.580937628474e10
8.2999997842e10,1.2237141433706e8,8.286590938147e10
1.0448040332e11,1.6631262780763e8,1.0432829838147e11
1.31538403984e11,2.261606719891e8,1.3147951019891e11
1.656016e11,2.889167869346e8,1.6549311960218e11
1.8342999502e11,3.217170260436e8,1.833950140327e11
2.0849599336e11,3.659943920436e8,2.084576839782e11
2.6244599336e11,4.976131390436e8,2.625611940327e11
3.3034000332e11,6.470144420327e8,3.306878829564e11
4.2695201328e11,8.682819061417e8,4.275570569346e11
4.4321999336e11,8.777301430763e8,4.435693019891e11
5.1891599004e11,9.291285348147e8,5.199507479564e11
6.5586601826e11,1.0121137092398e9,6.573975519891e11
7.8999397676e11,1.0936668828365e9,7.920596219891e11
9.6479200332e11,1.204797850109e9,9.674982061853e11
1.18573804316e12,1.3549748901635e9,1.1894817721526e12
1.45847599336e12,1.556331532891e9,1.4629830679019e12
1.6600000166e12,9.353898198165e8,1.6738848306577e12
8.3000000166e12,1.4018754752762e10,8.384385477249e12
1.66e13,2.886974130738e10,1.6785100968223e13
2.49e13,5.225322476857e10,2.519646098861e13
3.32e13,8.069275935084e10,3.36166492912e13
4.15e13,1.1328574716899e11,4.204453461515e13
4.98e13,1.4966896185458e11,5.047935095805e13
5.81e13,1.8969208075549e11,5.892055310759e13
6.64e13,2.333206761311e11,6.736774165249e13
7.47e13,2.80591337277e11,7.582061842666e13
8.3e13,3.315871292081e11,8.427895886071e13
9.13e13,3.864229821224e11,9.274259388114e13
9.96e13,4.452364940015e11,1.0121139638446e14
1.079e14,5.081819553542e11,1.096852734797e14
1.162e14,5.7542634118e11,1.181641583331e14
1.245e14,6.47146583913e11,1.2664800638882e14
1.328e14,7.223854431019e11,1.3513679099292e14
1.992e14,1.45899768924e12,2.02744030032e14
2.656e14,3.36905543017e12,2.71075005493e14
3.32e14,6.89297721359e12,3.4001237798e14
4.316e14,1.762222179886e13,4.4531851454e14
5.312e14,3.64241286824e13,5.54030049973e14
6.64e14,7.62811734472e13,7.05884110183e14
8.3e14,1.535376841775e14,9.09922885187e14
9.96e14,2.58354830339e14,1.132524239756e15
1.162e15,3.91541366068e14,1.374363353994e15
1.328e15,6.61832904853e14,1.644654892779e15
1.411e15,8.10493246212e14,1.793315234138e15
1.494e15,9.68163295585e14,1.950985303402e15
1.577e15,1.134843092754e15,2.11766508068e15
1.66e15,1.310532578046e15,2.29335452619e15
1.743e15,1.495231811134e15,2.47805379906e15
1.826e15,1.688940732345e15,2.67176270038e15
1.909e15,1.891659401352e15,2.87448142906e15
1.992e15,2.1033877187e15,3.08620978619e15
2.075e15,2.32412590319e15,3.30694777177e15
2.158e15,2.55387371613e15,3.53669558471e15
2.241e15,2.79263115752e15,3.77545322501e15
2.324e15,3.04039842627e15,4.02322049376e15
2.407e15,3.29717532347e15,4.27999739096e15
2.49e15,3.56296204803e15,4.54578411552e15
2.573e15,3.83775840104e15,4.82058046853e15
2.656e15,4.12156458141e15,5.1043866489e15
2.739e15,4.41438039023e15,5.39720245772e15
2.822e15,4.71620602641e15,5.69902789499e15
2.905e15,5.02704129104e15,6.00986315962e15
2.988e15,5.34688618412e15,6.32970825161e15
3.071e15,5.67574090456e15,6.65856297205e15
3.154e15,6.01360525345e15,6.99642732094e15
3.237e15,6.3604794297e15,7.34330149719e15
3.32e15,6.71636343331e15,7.69918530189e15
