baryon_density,pressure/c2,energy_density/c2
8.3e13,3.315871292081e11,8.427895886071e13
9.13e13,3.864229821224e11,9.274259388114e13
9.96e13,4.452364940015e11,1.0121139638446e14
1.079e14,5.081819553542e11,1.096852734797e14
1.162e14,5.7542634118e11,1.181641583331e14
1.245e14,6.47146583913e11,1.2664800638882e14
1.328e14,7.223854431019e11,1.3513679099292e14
1.66e14,2.65505068e12,1.691093038e14
1.826e14,3.50757894e12,1.863249643e14
1.992e14,4.46632514e12,2.03624167e14
2.158e14,5.549589e12,2.21008901e14
2.324e14,6.77427787e12,2.38473199e14
2.49e14,8.15153071e12,2.56036952e14
2.656e14,9.69129302e12,2.7370016e14
2.822e14,1.140410703e13,2.91462823e14
2.988e14,1.32991226e13,3.09344832e14
3.154e14,1.538648414e13,3.27326296e14
3.32e14,1.767554042e13,3.45427106e14
3.486e14,2.01754413e13,3.63627371e14
3.652e14,2.2894541e13,3.81966873e14
3.818e14,2.58443763e13,4.00445612e14
3.984e14,2.90269363e13,4.19043697e14
4.15e14,3.24541556e13,4.37781019e14
4.316e14,3.61280233e13,4.56657578e14
4.482e14,4.00564958e13,4.75693265e14
4.648e14,4.42415622e13,4.94868189e14
4.82562e14,4.89815875e13,5.15455374e14
5.00324e14,5.31905231e13,5.36480161e14
5.28212e14,5.53984241e13,5.69359984e14
5.54938e14,5.7723682e13,6.01026456e14
5.80668e14,6.01623186e13,6.31638705e14
6.05568e14,6.27083666e13,6.61256404e14
6.29472e14,6.53598369e13,6.89998899e14
6.52712e14,6.81127513e13,7.17965645e14
6.75288e14,7.09631316e13,7.45236206e14
6.97366e14,7.39109778e13,7.71850364e14
7.1878e14,7.69503226e13,7.97907574e14
7.39696e14,8.0081166e13,8.23427727e14
7.6028e14,8.33015189e13,8.48490387e14
7.802e14,8.66074031e13,8.73135336e14
7.99954e14,9.00008077e13,8.97382465e14
8.19376e14,9.34757654e13,9.21291447e14
8.383e14,9.70342653e13,9.44882173e14
8.58718e14,1.025042903e14,9.70382435e14
8.7731e14,1.080936613e14,9.93535559e14
8.95404e14,1.138003892e14,1.016370427e15
9.13332e14,1.19624474e14,1.038966603e15
9.30928e14,1.255639266e14,1.06138376e15
9.48358e14,1.316147688e14,1.083681571e15
9.65622e14,1.377770006e14,1.105919709e15
9.82886e14,1.44050622e14,1.128118065e15
9.99984e14,1.50435633e14,1.150316421e15
1.016916e15,1.569300445e14,1.172534668e15
1.034014e15,1.635338565e14,1.194792697e15
1.050946e15,1.70247069e14,1.21713029e15
1.067878e15,1.770676929e14,1.239527556e15
1.08481e15,1.839997064e14,1.262004386e15
1.101742e15,1.910391313e14,1.284640344e15
1.118674e15,1.981899458e14,1.30743543e15
1.135606e15,2.05454139e14,1.330389644e15
1.152704e15,2.12813809e14,1.353522877e15
1.169802e15,2.20292825e14,1.376835129e15
1.187066e15,2.27891187e14,1.400346291e15
1.20433e15,2.35589004e14,1.424076254e15
1.221594e15,2.43386276e14,1.448005127e15
1.239024e15,2.51322785e14,1.47213291e15
1.256454e15,2.59358749e14,1.496519276e15
1.27405e15,2.67494168e14,1.521104552e15
1.291646e15,2.75768824e14,1.545948411e15
1.309408e15,2.84142935e14,1.571030962e15
1.327336e15,2.92636392e14,1.596352205e15
1.345264e15,3.01229304e14,1.621951922e15
1.363358e15,3.09961453e14,1.647790331e15
1.381452e15,3.18793057e14,1.673907214e15
1.399712e15,3.27744007e14,1.70028268e15
1.417972e15,3.36814303e14,1.72693662e15
1.436564e15,3.46003945e14,1.753888925e15
1.455156e15,3.55312933e14,1.781099813e15
1.473748e15,3.64741267e14,1.808609066e15
1.492506e15,3.74308838e14,1.836416684e15
1.511596e15,3.83975864e14,1.864542558e15
1.53052e15,3.93762236e14,1.892946906e15
1.549776e15,4.03687845e14,1.92166951e15
1.569032e15,4.137328e14,1.950690479e15
1.588454e15,4.23897101e14,1.980049595e15
1.608042e15,4.34180748e14,2.00978664e15
1.627796e15,4.44603632e14,2.03962314e15
1.64755e15,4.55145862e14,2.07005637e15
1.667636e15,4.65827329e14,2.10068851e15
1.687722e15,4.76628142e14,2.13171847e15
1.707974e15,4.87568192e14,2.16294734e15
1.728226e15,4.98627588e14,2.19477294e15
1.74881e15,5.09826221e14,2.22679745e15
1.769394e15,5.211442e14,2.25921978e15
1.79031e15,5.32621307e14,2.29184102e15
1.811226e15,5.4421776e14,2.32505899e15
1.832308e15,5.55933559e14,2.35847587e15
1.853556e15,5.67808486e14,2.39229057e15
1.87497e15,5.7982265e14,2.42650309e15
1.896384e15,5.9195616e14,2.46111343e15
