baryon_density,pressure,energy_density
1.992e14,4.51147771e12,2.03504821e14
2.656e14,9.45797159e12,2.73481359e14
3.32e14,1.643812131e13,3.44949722e14
3.984e14,2.55718696e13,4.17989474e14
4.648e14,3.6897805e13,4.92719961e14
5.312e14,5.0403794e13,5.69220747e14
5.976e14,6.60222072e13,6.47531614e14
6.64e14,8.36555787e13,7.27672453e14
7.304e14,1.031865516e14,8.09683046e14
7.968e14,1.244878235e14,8.93543502e14
8.632e14,1.474301029e14,9.7923393e14
9.296e14,1.718940438e14,1.06675433e15
9.96e14,1.977603002e14,1.156084811e15
1.0624e15,2.24927428e14,1.2471657e15
1.1288e15,2.53291994e14,1.339977106e15
1.1952e15,2.82790347e14,1.434499138e15
1.2616e15,3.13303141e14,1.530692014e15
1.328e15,3.44810485e14,1.628515952e15
1.3944e15,3.77212924e14,1.72793117e15
1.4608e15,4.10490567e14,1.828917777e15
1.5272e15,4.4456385e14,1.931435991e15
1.5936e15,4.79412882e14,2.03544603e15
1.66e15,5.1497799e14,2.14086833e15
1.7264e15,5.51239283e14,2.24788191e15
1.7928e15,5.8817687e14,2.35608895e15
1.8592e15,6.25731078e14,2.46588727e15
1.9256e15,6.63901907e14,2.57687905e15
1.992e15,7.02649575e14,2.6892632e15
2.0584e15,7.41954191e14,2.80303972e15
2.1248e15,7.81795864e14,2.9180097e15
2.1912e15,8.22174594e14,3.03417314e15
2.2576e15,8.63050599e14,3.15172895e15
2.324e15,9.04423879e14,3.27027931e15
2.3904e15,9.46274543e14,3.39022204e15
2.4568e15,9.885827e14,3.51115932e15
2.5232e15,1.03134835e15,3.63329006e15
2.5896e15,1.074531711e15,3.75661426e15
2.656e15,1.118172565e15,3.88113192e15
2.7224e15,1.162211239e15,4.00664413e15
2.7888e15,1.206667624e15,4.13315089e15
2.8552e15,1.251501938e15,4.26085111e15
2.9216e15,1.296734072e15,4.38954588e15
2.988e15,1.342364026e15,4.5192352e15
3.0544e15,1.388352018e15,4.64991907e15
3.1208e15,1.434717939e15,4.78159749e15
3.1872e15,1.481441898e15,4.91446937e15
3.2536e15,1.528504004e15,5.04813689e15
3.32e15,1.575924148e15,5.18279896e15
