baryon_density,pressure/c2,energy_density/c2
26244.598506,0.0552671435,26077.10080109
65935.202656,0.2704380240654,65511.00670981
165601.598174,1.2804433350436,164498.57159128
415996.02158,5.858297200654,413334.9879564
1.04480396182e6,25.78669180327,1.0383101562398e6
2.62446e6,108.52131959019,2.607710159673e6
6.5935200996e6,435.0758549346,6.552095519346e6
8.2999999502e6,585.0539710654,8.247803110218e6
1.65601593028e7,1596.3920208147,1.6459801724251e7
3.3033999834e7,4264.033650109,3.2840041e7
6.5935199502e7,11191.471901853,6.553090129019e7
1.3153840498e8,28969.25180327,1.3078333037057e8
2.6244599004e8,74269.01261744,2.609699100545e8
3.3033999834e8,97207.31620436,3.285993319346e8
5.2372998174e8,181220.93230763,5.208458071526e8
8.2999999834e8,336973.4409455,8.255759430654e8
1.04480400996e9,459342.8510654,1.0393047261308e9
1.31538397842e9,560230.0189782,1.3088277761308e9
1.6560159253e9,763158.0188801,1.6479693320981e9
2.6244599834e9,1.4150457678474e6,2.611688379564e9
4.159960166e9,2.621036990436e6,4.141306020981e9
6.5935197178e9,4.852608260545e6,6.56502474891e9
8.2999997842e9,6.298684079891e6,8.266699580109e9
1.04480397178e10,8.568246861635e6,1.0402992980109e10
1.31538397842e10,1.1658712148256e7,1.310816919891e10
1.656016e10,1.593022511273e7,1.657982558964e10
5.2373e10,6.65591547995e7,5.25077784487e10
1.656016e11,2.89822153647e8,1.662979456638e11
2.62446e11,4.99693407453e8,2.63838082854e11
4.269520166e11,8.73463955211e8,4.29636370576e11
6.558660166e11,1.017375638576e9,6.60594590648e11
1.1857380498e12,1.361164661053e9,1.195266520511e12
8.3000000166e12,1.4018754752762e10,8.384385477249e12
1.66e13,2.886974130738e10,1.6785100968223e13
2.49e13,5.225322476857e10,2.519646098861e13
3.32e13,8.069275935084e10,3.36166492912e13
4.15e13,1.1328574716899e11,4.204453461515e13
4.98e13,1.4966896185458e11,5.047935095805e13
5.81e13,1.8969208075549e11,5.892055310759e13
6.64e13,2.333206761311e11,6.736774165249e13
7.47e13,2.80591337277e11,7.582061842666e13
8.3e13,3.315871292081e11,8.427895886071e13
9.13e13,3.864229821224e11,9.274259388114e13
9.96e13,4.452364940015e11,1.0121139638446e14
1.079e14,5.081819553542e11,1.096852734797e14
1.162e14,5.7542634118e11,1.181641583331e14
1.245e14,6.47146583913e11,1.2664800638882e14
1.328e14,7.223854431019e11,1.3513679099292e14
1.64672e14,2.104348454e12,1.6675500504e14
1.96544e14,3.216394591e12,1.995305992e14
2.28416e14,4.58547223e12,2.325078881e14
2.60288e14,6.209850854e12,2.656900543e14
2.9216e14,8.065144097e12,2.990930106e14
3.24032e14,1.0165395005e13,3.327207352e14
3.55904e14,1.2520608751e13,3.665811845e14
3.87776e14,1.5137786967e13,4.006803258e14
4.19648e14,1.801945581e13,4.350221373e14
4.5152e14,2.117178149e13,4.696086081e14
4.83392e14,2.459780733e13,5.044457055e14
5.15264e14,2.830031807e13,5.395354186e14
5.47136e14,3.228428646e13,5.748777474e14
5.79008e14,3.655110487e13,6.104786592e14
6.1088e14,4.110495041e13,6.46338154e14
6.42752e14,4.594781218e13,6.8246021e14
6.74624e14,5.108187819e13,7.188428381e14
7.06496e14,5.651052991e13,7.554920056e14
7.38368e14,6.22349608e13,7.924077125e14
7.7024e14,6.825815451e13,8.295919479e14
8.02112e14,7.458150341e13,8.670447118e14
8.33984e14,8.120679769e13,9.047699824e14
8.65856e14,8.813642427e13,9.427677597e14
8.97728e14,9.537117879e13,9.810380437e14
9.296e14,1.0291344817e14,1.0195848126e15
9.61472e14,1.1076422696e14,1.0584080664e15
9.93344e14,1.1892490753e14,1.0975097942e15
1.025216e15,1.2739728007e14,1.1368880069e15
1.057088e15,1.3618194131e14,1.1765486718e15
1.08896e15,1.4528068144e14,1.2164897998e15
1.120832e15,1.546942961e14,1.2567113909e15
1.152704e15,1.6442397875e14,1.2972174233e15
1.184576e15,1.7447092285e14,1.338007897e15
1.216448e15,1.8483572513e14,1.379082812e15
1.24832e15,1.9551977796e14,1.4204421683e15
1.280192e15,2.065242748e14,1.4620899441e15
1.312064e15,2.178482211e14,1.5040261394e15
1.343936e15,2.294944016e14,1.5462487651e15
1.375808e15,2.414628163e14,1.5887617994e15
1.40768e15,2.537554543e14,1.6315652423e15
1.439552e15,2.663703265e14,1.6746590938e15
1.471424e15,2.793114111e14,1.718045343e15
1.503296e15,2.92576719e14,1.7617239899e15
1.535168e15,3.061662502e14,1.8056950345e15
1.56704e15,3.200839829e14,1.8499604659e15
1.598912e15,3.34327928e14,1.894518295e15
1.630784e15,3.489000746e14,1.9393744891e15
1.662656e15,3.638004227e14,1.9845230809e15
1.694528e15,3.790289723e14,2.029976005e15
1.7264e15,3.945857234e14,2.075705414e15
1.758272e15,4.104726651e14,2.121753079e15
1.790144e15,4.266878083e14,2.168099109e15
1.822016e15,4.432351312e14,2.214723613e15
1.853888e15,4.601126447e14,2.261666373e15
1.88576e15,4.773223379e14,2.308907498e15
1.917632e15,4.948622217e14,2.356446988e15
1.949504e15,5.127342852e14,2.404284843e15
1.981376e15,5.309365393e14,2.452421063e15
2.013248e15,5.494729622e14,2.500855648e15
2.04512e15,5.683435539e14,2.549608489e15
2.076992e15,5.875463253e14,2.598659695e15
2.108864e15,6.070812764e14,2.648009266e15
2.140736e15,6.269503963e14,2.697657202e15
2.172608e15,6.47153685e14,2.747623394e15
2.20448e15,6.676911425e14,2.797887951e15
2.236352e15,6.885647579e14,2.848450873e15
2.268224e15,7.09770553e14,2.899332051e15
2.300096e15,7.31312506e14,2.950511594e15
2.331968e15,7.531906169e14,3.001989502e15
2.36384e15,7.754028966e14,3.053785666e15
2.395712e15,7.979513342e14,3.105880195e15
2.427584e15,8.208339406e14,3.15829298e15
2.459456e15,8.44054694e14,3.21100413e15
2.491328e15,8.676096162e14,3.264013645e15
2.5232e15,8.915026854e14,3.317361307e15
2.555072e15,9.157319125e14,3.370987443e15
2.586944e15,9.402972975e14,3.424951726e15
2.618816e15,9.652008295e14,3.479194483e15
2.650688e15,9.904405194e14,3.533775387e15
2.68256e15,1.0160163672e15,3.588654656e15
2.714432e15,1.041930362e15,3.64383229e15
2.746304e15,1.0681825038e15,3.699348071e15
2.778176e15,1.0947708035e15,3.755142326e15
2.810048e15,1.1216992393e15,3.811274728e15
2.84192e15,1.148963833e15,3.867705495e15
2.873792e15,1.1765645846e15,3.924454518e15
2.905664e15,1.2045054723e15,3.981521797e15
2.937536e15,1.232784507e15,4.038887441e15
2.969408e15,1.2614016887e15,4.096571341e15
3.00128e15,1.2903570174e15,4.154573497e15
3.033152e15,1.3196524822e15,4.212874018e15
3.065024e15,1.3492841049e15,4.271492795e15
3.096896e15,1.3792558637e15,4.330449719e15
3.128768e15,1.4095657695e15,4.389685117e15
3.16064e15,1.4402138223e15,4.449258662e15
3.192512e15,1.4712020112e15,4.509150463e15
3.224384e15,1.5025283471e15,4.569340629e15
3.256256e15,1.5341948191e15,4.629849051e15
3.288128e15,1.5661994381e15,4.690675729e15
3.32e15,1.5985441932e15,4.751820663e15
