baryon_density,pressure/c2,energy_density/c2
2.6199183280e+15,5.2999582842e+14,1.9588000000e+15
2.5932524160e+15,5.2330426052e+14,1.9422000000e+15
2.5666439570e+15,5.1664679179e+14,1.9256000000e+15
2.5400923420e+15,5.1011483288e+14,1.9090000000e+15
2.5135969970e+15,5.0373627191e+14,1.8924000000e+15
2.4871568070e+15,4.9730414953e+14,1.8758000000e+15
2.4607747940e+15,4.9083214521e+14,1.8592000000e+15
2.4344496710e+15,4.8456344386e+14,1.8426000000e+15
2.4081801120e+15,4.7831945236e+14,1.8260000000e+15
2.3819679990e+15,4.7207773500e+14,1.8094000000e+15
2.3558124520e+15,4.6597674306e+14,1.7928000000e+15
2.3297128070e+15,4.5988582728e+14,1.7762000000e+15
2.3036705770e+15,4.5388906818e+14,1.7596000000e+15
2.2776835630e+15,4.4795854825e+14,1.7430000000e+15
2.2517537560e+15,4.4207088882e+14,1.7264000000e+15
2.2258794380e+15,4.3630890712e+14,1.7098000000e+15
2.2000609770e+15,4.3059686248e+14,1.6932000000e+15
2.1742981210e+15,4.2493105346e+14,1.6766000000e+15
2.1485913060e+15,4.1933619613e+14,1.6600000000e+15
2.1229397990e+15,4.1382547294e+14,1.6434000000e+15
2.0973437590e+15,4.0839534067e+14,1.6268000000e+15
2.0718025190e+15,4.0301226204e+14,1.6102000000e+15
2.0463169030e+15,3.9769270337e+14,1.5936000000e+15
2.0208859260e+15,3.9246751790e+14,1.5770000000e+15
1.9955097450e+15,3.8729786469e+14,1.5604000000e+15
1.9701881870e+15,3.8215663723e+14,1.5438000000e+15
1.9449219830e+15,3.7717504335e+14,1.5272000000e+15
1.9197081610e+15,3.7225817644e+14,1.5106000000e+15
1.8945494240e+15,3.6732515051e+14,1.4940000000e+15
1.8694446350e+15,3.6254329077e+14,1.4774000000e+15
1.8443927710e+15,3.5782249828e+14,1.4608000000e+15
1.8193946720e+15,3.5321419527e+14,1.4442000000e+15
1.7944481640e+15,3.4875075896e+14,1.4276000000e+15
1.7695532780e+15,3.4435769431e+14,1.4110000000e+15
1.7447095470e+15,3.4005095941e+14,1.3944000000e+15
1.7199166110e+15,3.3583252341e+14,1.3778000000e+15
1.6951739380e+15,3.3169787318e+14,1.3612000000e+15
1.6704812520e+15,3.2764253388e+14,1.3446000000e+15
1.6458381140e+15,3.2366937079e+14,1.3280000000e+15
1.6212441590e+15,3.1977286062e+14,1.3114000000e+15
1.5966990670e+15,3.1595231251e+14,1.2948000000e+15
1.5722024710e+15,3.1220555446e+14,1.2782000000e+15
1.5477540900e+15,3.0852846911e+14,1.2616000000e+15
1.5233536500e+15,3.0492288966e+14,1.2450000000e+15
1.4990008050e+15,3.0137744539e+14,1.2284000000e+15
1.4746955670e+15,2.9789297368e+14,1.2118000000e+15
1.4504375650e+15,2.9447336868e+14,1.1952000000e+15
1.4262266870e+15,2.9110772955e+14,1.1786000000e+15
1.4020628560e+15,2.8777703764e+14,1.1620000000e+15
1.3779464910e+15,2.8452118992e+14,1.1454000000e+15
1.3538763930e+15,2.8129727859e+14,1.1288000000e+15
1.3298541770e+15,2.7808902314e+14,1.1122000000e+15
1.3058791770e+15,2.7491952875e+14,1.0956000000e+15
1.2819523130e+15,2.7175026568e+14,1.0790000000e+15
1.2580741170e+15,2.6857947249e+14,1.0624000000e+15
1.2342456040e+15,2.6534670525e+14,1.0458000000e+15
1.2104692490e+15,2.6211773737e+14,1.0292000000e+15
1.1867441140e+15,2.5874439158e+14,1.0126000000e+15
1.1630774470e+15,2.5499774479e+14,9.9600000000e+14
1.1394761550e+15,2.5057071272e+14,9.7940000000e+14
1.1159581850e+15,2.4557679468e+14,9.6280000000e+14
1.0925276260e+15,2.4043854179e+14,9.4620000000e+14
1.0691883800e+15,2.3511450982e+14,9.2960000000e+14
1.0459462660e+15,2.2955392612e+14,9.1300000000e+14
1.0228073810e+15,2.2305423317e+14,8.9640000000e+14
9.9980352000e+14,2.1421765243e+14,8.7980000000e+14
9.7699440940e+14,2.0383477284e+14,8.6320000000e+14
9.5438599960e+14,1.9353615202e+14,8.4660000000e+14
9.3197681460e+14,1.8351450862e+14,8.3000000000e+14
9.0976528010e+14,1.7377548558e+14,8.1340000000e+14
8.8774957060e+14,1.6430302010e+14,7.9680000000e+14
8.6592862290e+14,1.5510770330e+14,7.8020000000e+14
8.4430006610e+14,1.4619973126e+14,7.6360000000e+14
8.2286222920e+14,1.3756485929e+14,7.4700000000e+14
8.0161319980e+14,1.2920904585e+14,7.3040000000e+14
7.8055087770e+14,1.2113327152e+14,7.1380000000e+14
7.5967311900e+14,1.1333498366e+14,6.9720000000e+14
7.3897774370e+14,1.0581418090e+14,6.8060000000e+14
7.1846240140e+14,9.8573971395e+13,6.6400000000e+14
6.9812453520e+14,9.1612223104e+13,6.4740000000e+14
6.7796165070e+14,8.4928682578e+13,6.3080000000e+14
6.5797094660e+14,7.8523122848e+13,6.1420000000e+14
6.3814965350e+14,7.2394033892e+13,5.9760000000e+14
6.1849475140e+14,6.6542574413e+13,5.8100000000e+14
5.9900307810e+14,6.0966939770e+13,5.6440000000e+14
5.7967135920e+14,5.5665052279e+13,5.4780000000e+14
5.6049617270e+14,5.0636654316e+13,5.3120000000e+14
5.4147384970e+14,4.5879744802e+13,5.1460000000e+14
5.2260064230e+14,4.1391744882e+13,4.9800000000e+14
5.0387256690e+14,3.7171161769e+13,4.8140000000e+14
4.8528545180e+14,3.3215135942e+13,4.6480000000e+14
4.6683494190e+14,2.9520264247e+13,4.4820000000e+14
4.4851649310e+14,2.6083288313e+13,4.3160000000e+14
4.3032532550e+14,2.2900212012e+13,4.1500000000e+14
4.1225647620e+14,1.9966270921e+13,3.9840000000e+14
3.9430476010e+14,1.7276382420e+13,3.8180000000e+14
3.7646478310e+14,1.4824943884e+13,3.6520000000e+14
3.5873091880e+14,1.2605443883e+13,3.4860000000e+14
3.4109735330e+14,1.0610650503e+13,3.3200000000e+14
3.2355805080e+14,8.8327230772e+12,3.1540000000e+14
3.0610678640e+14,7.2627855076e+12,2.9880000000e+14
2.8873715930e+14,5.8910798794e+12,2.8220000000e+14
2.7144261730e+14,4.7067879942e+12,2.6560000000e+14
2.5421650130e+14,3.6978450524e+12,2.4900000000e+14
2.3705211080e+14,2.8500206548e+12,2.3240000000e+14
2.1994290120e+14,2.1466481692e+12,2.1580000000e+14
2.0288267200e+14,1.5771475286e+12,1.9920000000e+14
1.8586457710e+14,1.1323440344e+12,1.8260000000e+14
1.6888172780e+14,7.9746276545e+11,1.6600000000e+14
1.5192747330e+14,5.5601935491e+11,1.4940000000e+14
1.3499555050e+14,3.9102795379e+11,1.3280000000e+14
1.1808027470e+14,2.8524838284e+11,1.1620000000e+14
1.0117680560e+14,2.2155275509e+11,9.9600000000e+13
8.4281510480e+13,1.8347235198e+11,8.3000000000e+13
6.7392492220e+13,1.5600743363e+11,6.6400000000e+13
5.0510403100e+13,1.2688378148e+11,4.9800000000e+13
3.3639852930e+13,8.8676372282e+10,3.3200000000e+13
