baryon_density,pressure/c2,energy_density/c2
6.7229082352e14,1.78143796e8,6.784915954729e14
6.8416468898e14,3.997631199644e12,6.905098669644e14
7.0058394984e14,9.563781406462e12,7.072430274992e14
7.1726382738e14,1.5263072558837e13,7.243758897226e14
7.3420637502e14,2.109761033792e13,7.419147650489e14
7.5141364618e14,2.706951709352e13,7.598660245654e14
7.688876893e14,3.318093156563e13,7.782360831196e14
7.8663055946e14,3.943400914301e13,7.970314072756e14
8.0464430842e14,4.583092152504e13,8.162585113359e14
8.2293098628e14,5.237385692063e13,8.359239613196e14
8.4149264812e14,5.906502044604e13,8.560343709842e14
8.6033134404e14,6.590663332924e13,8.765964038147e14
8.7944912746e14,7.290093350664e13,8.976167770018e14
8.9884804848e14,8.005017522527e13,9.191022495073e14
9.1853016052e14,8.735662963951e13,9.410596359878e14
9.38497517e14,9.482258381654e13,9.634957988383e14
9.5875216802e14,1.0245034212871e14,9.864176481922e14
9.7929616534e14,1.1024222486117e14,1.0098321478886e15
1.00013156238e15,1.1820056900751e14,1.0337463075159e15
1.0212604109e15,1.2632772787194e14,1.0581671883791e15
1.04268476432e15,1.3462607166602e14,1.0831018975325e15
1.06440667274e15,1.4309798691193e14,1.1085575997143e15
1.08642818792e15,1.5174587684029e14,1.1345414994447e15
1.10875136328e15,1.6057216059452e14,1.1610608589278e15
1.13137825224e15,1.695792744243e14,1.1881229821388e15
1.15431090324e15,1.7876967108884e14,1.2157352307368e15
1.17755137136e15,1.8814581965797e14,1.2439050121302e15
1.20110170836e15,1.9771020551214e14,1.2726397794767e15
1.224963966e15,2.074653319337e14,1.3019470436179e15
1.24914019438e15,2.174137141396e14,1.3318343571665e15
1.27363244858e15,2.275578914149e14,1.3623093264409e15
1.29844278036e15,2.379004137858e14,1.393379607487e15
1.32357323982e15,2.484438511695e14,1.4250529040891e15
1.34902588204e15,2.591907834287e14,1.4573369717481e15
1.37480275546e15,2.701438182735e14,1.4902396137033e15
1.40090591516e15,2.813055673922e14,1.5237686809324e15
1.42733741124e15,2.926786703205e14,1.5579320801079e15
1.45409929712e15,3.042657725614e14,1.5927377616625e15
1.48119362456e15,3.160695474653e14,1.6281937257564e15
1.50862244532e15,3.280926743499e14,1.6643080262555e15
1.53638781282e15,3.40337854413e14,1.7010887647641e15
1.56449177716e15,3.528078047652e14,1.7385440886358e15
1.59293639176e15,3.65505260419e14,1.7766822029081e15
1.62172371004e15,3.784329683215e14,1.8155113524005e15
1.65085578044e15,3.915936972999e14,1.8550398376273e15
1.6803346514e15,4.049902301051e14,1.8952760108194e15
1.7101623946e15,4.186253654008e14,1.9362282659788e15
1.7403410452e15,4.325019177635e14,1.9779050528023e15
1.770872645e15,4.466227216607e14,2.020314866736e15
1.801759269e15,4.609906274727e14,2.063466262899e15
1.833002959e15,4.756084975144e14,2.107367828236e15
1.8646057734e15,4.904792139917e14,2.152028215332e15
1.896569754e15,5.056056790015e14,2.197456096663e15
1.9288969592e15,5.209908045862e14,2.243660264051e15
1.9615894308e15,5.366375226792e14,2.290649469536e15
1.9946492438e15,5.525487811267e14,2.338432584504e15
2.0280784234e15,5.687275456768e14,2.387018480341e15
2.0618790446e15,5.851767960013e14,2.436416107997e15
2.0960531492e15,6.01899531663e14,2.486634478095e15
2.130602779e15,6.188987641593e14,2.537682621149e15
2.165530009e15,6.361775288568e14,2.589569627346e15
2.200836881e15,6.537388670894e14,2.642304626655e15
2.2365254368e15,6.715858460493e14,2.695896828609e15
2.2725977348e15,6.897215468524e14,2.750355462632e15
2.3090558334e15,7.081490625492e14,2.805689817821e15
2.3459017744e15,7.268715100594e14,2.861909262837e15
2.3831376162e15,7.458920162482e14,2.91902314645e15
2.4207654172e15,7.652137298609e14,2.977040916885e15
2.4587872192e15,7.848398135665e14,3.03597208204e15
2.4972050806e15,8.047734439577e14,3.095826169704e15
2.5360210598e15,8.250178195073e14,3.156612767339e15
2.575237182e15,8.455761526118e14,3.218341502189e15
2.6148555388e15,8.664516695914e14,3.281022081062e15
2.6548781388e15,8.876476186464e14,3.344664210766e15
2.6953070736e15,9.091672619008e14,3.409277717455e15
2.7361443684e15,9.310138734132e14,3.474872407392e15
2.7773920816e15,9.531907531005e14,3.541458166404e15
2.8190522716e15,9.757012108251e14,3.609044939991e15
2.8611269968e15,9.985485743513e14,3.677642693544e15
2.9036182824e15,1.0217361893453e15,3.747261491909e15
2.94652822e15,1.0452674134079e15,3.817911380041e15
2.9898588182e15,1.0691456280091e15,3.889602522241e15
3.0336121686e15,1.0933742245644e15,3.96234508281e15
3.0777902964e15,1.1179566143803e15,4.036149305613e15
3.12239526e15,1.1428962246761e15,4.111025474297e15
3.1674291178e15,1.1681964985839e15,4.1869838924e15
3.2128939282e15,1.1938608971377e15,4.264034962915e15
3.2587917164e15,1.2198928972843e15,4.342189108726e15
3.3051245574e15,1.2462959918833e15,4.421456832281e15
3.3518945096e15,1.2730736897071e15,4.501848616137e15
3.3991035982e15,1.30022951743e15,4.583375082088e15
3.4467538982e15,1.3277670176391e15,4.666046851928e15
3.4948474348e15,1.3556897488343e15,4.749874567342e15
3.5433862996e15,1.3840012874174e15,4.834868989361e15
3.5923725178e15,1.4127052276921e15,4.921040898907e15
3.6418081478e15,1.4418051758967e15,5.008401096793e15
3.691695248e15,1.4713047561714e15,5.096960463396e15
3.7420358602e15,1.5012076145365e15,5.186729958657e15
3.7928320262e15,1.5315174049687e15,5.277720502735e15
3.8440858376e15,1.5622378053139e15,5.369943174917e15
3.895799303e15,1.5933725053526e15,5.463409014708e15
3.9479744974e15,1.6249252127672e15,5.558129141177e15
4.0006134626e15,1.6568996551311e15,5.654114752957e15
4.0537182736e15,1.6892995679741e15,5.751377048681e15
4.1072909556e15,1.7221287126843e15,5.849927326437e15
4.161333567e15,1.7553908625844e15,5.949776884313e15
4.2158481662e15,1.7890898069099e15,6.050937099961e15
4.270836795e15,1.8232293527982e15,6.153419410706e15
4.3263015118e15,1.8578133252886e15,6.257235273764e15
4.3822443916e15,1.892845561355e15,6.362396186133e15
4.438667443e15,1.9283299218405e15,6.468913764157e15
4.495572741e15,1.9642702755446e15,6.576799584398e15
4.552962344e15,2.000670515136e15,6.686065362655e15
4.6108382938e15,2.037534545218e15,6.796722755054e15
4.6692026488e15,2.074866292274e15,6.908783576849e15
4.7280574674e15,2.112669674831e15,7.022259643294e15
4.7874047748e15,2.15094869098e15,7.137162789534e15
4.847246646e15,2.189707279139e15,7.25350497006e15
4.9075851228e15,2.228949417508e15,7.371298119472e15
