baryon_density,pressure,energy_density
4.9708550268e14,1.78143796e8,5.009056107423e14
5.0242222174e14,1.6665202197333e12,5.06292167139e14
5.148795108e14,5.58230313097e12,5.1893669682e14
5.2754097322e14,9.598618165715e12,5.318888368378e14
5.4040827232e14,1.3717168047274e13,5.451536375173e14
5.5348307806e14,1.7936747361156e13,5.587264642555e14
5.667670521e14,2.2258327365e13,5.726099784682e14
5.8026184448e14,2.66869670164e13,5.868204191678e14
5.9396911852e14,3.122443669392e13,6.013630435456e14
6.0789053256e14,3.587249973471e13,6.16243090891e14
6.2202775158e14,4.063293240507e13,6.314658343081e14
6.3638243392e14,4.550752509391e13,6.470365906612e14
6.5095624124e14,5.049808231275e13,6.629607205748e14
6.657508352e14,5.560642190008e13,6.792436244554e14
6.8076788908e14,6.082787981422e13,6.958694471869e14
6.9600905292e14,6.616958439284e13,7.128610654084e14
7.1147598672e14,7.163423225881e13,7.302267597432e14
7.2717034882e14,7.722369296722e13,7.479720897258e14
7.4309380254e14,8.293984422847e13,7.66102640749e14
7.5924800622e14,8.878457747775e13,7.846240399767e14
7.7563462318e14,9.475979807395e13,8.035419523657e14
7.9225531342e14,1.0086742490184e14,8.22862086633e14
8.091117386e14,1.0710939037207e14,8.42590199234e14
8.2620555706e14,1.1348764121681e14,8.627320764606e14
8.4353843544e14,1.1999993691382e14,8.832799707683e14
8.611120354e14,1.2664789281121e14,9.042386500298e14
8.7892801196e14,1.3343763215442e14,9.256274244279e14
8.9698802678e14,1.403711768636e14,9.474523269029e14
9.1529373654e14,1.4745053314501e14,9.697193307221e14
9.3384680622e14,1.5467772053188e14,9.92434452913e14
9.5264889416e14,1.6205477228223e14,1.0156037502851e15
9.7170166202e14,1.6958373498105e14,1.039233321419e15
9.9100676814e14,1.7726666913703e14,1.0633293046773e15
1.01056587584e15,1.8510564898365e14,1.0878978821828e15
1.03038064346e15,1.9310276228027e14,1.1129452758403e15
1.05045273266e15,2.012601097154e14,1.1384777533039e15
1.0707838051e15,2.095798068958e14,1.1645016140533e15
1.09137552244e15,2.180577449376e14,1.1910033083393e15
1.11222954634e15,2.266980949835e14,1.2179957533773e15
1.13334753348e15,2.355067686387e14,1.2454973602769e15
1.15473114386e15,2.444859519241e14,1.2735146652207e15
1.17638203914e15,2.536378209151e14,1.3020541526747e15
1.19830187766e15,2.629645636217e14,1.3311223508651e15
1.22049232108e15,2.724683799885e14,1.3607258278001e15
1.2429550294e15,2.82151487862e14,1.3908711912699e15
1.26569166262e15,2.920161130451e14,1.4215650908358e15
1.2887038824e15,3.020644992426e14,1.4528142218084e15
1.31199334874e15,3.12298904083e14,1.4846253113239e15
1.33556171998e15,3.227215931512e14,1.517005136246e15
1.35941065944e15,3.333348519231e14,1.5499605112313e15
1.38354182712e15,3.441409758201e14,1.5834982887293e15
1.40795688136e15,3.551422761764e14,1.6176253689279e15
1.43265748382e15,3.663410762608e14,1.6523486878188e15
1.45764529616e15,3.777373024766e14,1.6876676248028e15
1.48292198004e15,3.893256399486e14,1.7235651054455e15
1.5084891938e15,4.011179854839e14,1.7600782244728e15
1.53434859578e15,4.131167896537e14,1.7972143097291e15
1.56050184764e15,4.253244334107e14,1.8349804821924e15
1.58695060938e15,4.377433156095e14,1.8733838986445e15
1.613696541e15,4.503758450502e14,1.9124317576383e15
1.6407413025e15,4.632244464457e14,1.9521312994978e15
1.6680865572e15,4.762915544544e14,1.992489804329e15
1.6957339568e15,4.895796236257e14,2.033514594009e15
1.7236851696e15,5.030911144763e14,2.075213032186e15
1.7519418556e15,5.168285054248e14,2.117592518312e15
1.7805056748e15,5.307942888135e14,2.160660491621e15
1.8093782872e15,5.449909709084e14,2.204424470911e15
1.8385613528e15,5.594210659319e14,2.248891935198e15
1.8680565316e15,5.740871079974e14,2.294070462953e15
1.897865467e15,5.889916411638e14,2.33996769232e15
1.9279898522e15,6.041372254028e14,2.386591221661e15
1.9584313306e15,6.195264346098e14,2.433948788575e15
1.9891915622e15,6.351618506366e14,2.482048090879e15
2.0202721904e15,6.510460772151e14,2.530896925845e15
2.0516749084e15,6.671817240445e14,2.580503070854e15
2.0834013596e15,6.835641386199e14,2.630851746893e15
2.115453204e15,7.001945362814e14,2.681946474669e15
2.1478321182e15,7.170836840273e14,2.733820412479e15
2.180539729e15,7.342343109028e14,2.786481735524e15
2.2135777296e15,7.516490902583e14,2.839938420095e15
2.2469477468e15,7.693307053897e14,2.894198522047e15
2.2806514738e15,7.872818594839e14,2.949270097235e15
2.314690554e15,8.055052616951e14,3.005161281078e15
2.3490666474e15,8.240036390794e14,3.061880189104e15
2.383781414e15,8.427797306275e14,3.119435036296e15
2.4188365304e15,8.618362892538e14,3.177834057528e15
2.45423364e15,8.811760837855e14,3.237085507565e15
2.4899744028e15,9.008018910062e14,3.297197740627e15
2.5260604788e15,9.207165075905e14,3.358179071152e15
2.562493528e15,9.409227381694e14,3.420037913033e15
2.599275227e15,9.614234012976e14,3.482782719945e15
2.6364072192e15,9.822213354208e14,3.546421945563e15
2.6738911812e15,1.003319384952e15,3.610964103235e15
2.7117287398e15,1.0247204122061e15,3.676417785873e15
2.7499215882e15,1.0464272894435e15,3.742791566498e15
2.7884713864e15,1.0684429068265e15,3.810094097695e15
2.8273797612e15,1.0907701644629e15,3.87833405194e15
2.8666484058e15,1.1134119783733e15,3.947520141491e15
2.9062789802e15,1.1363712745238e15,4.017661138279e15
2.9462731112e15,1.1596509967824e15,4.088765873908e15
2.9866325086e15,1.1832541009517e15,4.1608431402e15
3.0273587826e15,1.2071835527798e15,4.233901848323e15
3.0684536264e15,1.2314423359167e15,4.307950929336e15
3.1099187e15,1.2560334479361e15,4.382999334189e15
3.1517556468e15,1.2809598963572e15,4.459056073505e15
3.1939661268e15,1.30621929426e15,4.536113568813e15
3.2365518166e15,1.3318043754622e15,4.614149204046e15
3.2795143762e15,1.3577331691662e15,4.693218236402e15
3.322855449e15,1.3840088678775e15,4.773330213561e15
3.366576695e15,1.4106345387883e15,4.854494325165e15
3.4106797908e15,1.4376132669927e15,4.936719780747e15
3.4551663798e15,1.4649481475303e15,5.020015869404e15
3.5000381386e15,1.4926422853862e15,5.104391900124e15
3.5452967272e15,1.5206988074256e15,5.189857181895e15
3.590943789e15,1.5491208444919e15,5.276421143051e15
3.6369810006e15,1.5779115493086e15,5.364093192035e15
3.6834100054e15,1.6070740825556e15,5.452882777072e15
3.73023248e15,1.6366116208256e15,5.542799425951e15
3.7774500844e15,1.6665273526459e15,5.633852706243e15
3.825064462e15,1.6968244804675e15,5.726052165628e15
3.8730772894e15,1.7275062206651e15,5.819407451241e15
3.9214902266e15,1.7585758035371e15,5.913928249999e15
3.970304917e15,1.7900364733056e15,6.009624248819e15
4.0195230372e15,1.8218914841382e15,6.106505194291e15
4.0691462306e15,1.8541441061153e15,6.204580892678e15
4.1191761738e15,1.8867976252301e15,6.303861170134e15
4.1696145268e15,1.9198553354322e15,6.404355912486e15
4.2204629496e15,1.9533205485731e15,6.506075005561e15
4.2717230856e15,1.9871965864498e15,6.60902841475e15
4.323396628e15,2.021486784783e15,6.713226125335e15
4.3754852036e15,2.056194511119e15,6.818678182271e15
4.4279904724e15,2.091323091233e15,6.925394650404e15
4.4809141276e15,2.126875946377e15,7.033385654253e15
4.534257796e15,2.162856458021e15,7.142661358119e15
4.5880231542e15,2.199267987744e15,7.253231926303e15
4.6422118622e15,2.236114016471e15,7.36510760267e15
4.69682558e15,2.273397925672e15,7.478298690758e15
4.751865951e15,2.311123196272e15,7.592815474214e15
4.8073346684e15,2.349293269414e15,7.708668316249e15
4.863233359e15,2.387911606132e15,7.825867639747e15
4.9195636994e15,2.426981707242e15,7.944423847701e15
4.9763273496e15,2.46650707356e15,8.064347442559e15
5.0335259696e15,2.506491205902e15,8.185648926769e15
5.0911612194e15,2.546937624975e15,8.308338882343e15
5.149234759e15,2.587849891268e15,8.432427891293e15
5.2077482484e15,2.629231545379e15,8.557926595304e15
5.266703331e15,2.671086147797e15,8.684845655952e15
5.3261017e15,2.713417278902e15,8.813195834268e15
5.3859449988e15,2.756228538965e15,8.942987891283e15
5.4462348708e15,2.799523528257e15,9.074232588028e15
5.5069730092e15,2.843298944872e15,9.206919640856e15
5.5681610408e15,2.887541939224e15,9.341009844606e15
5.6298006588e15,2.932278628196e15,9.476582544477e15
5.6918935066e15,2.977512910424e15,9.613649376704e15
5.7544412276e15,3.023248425961e15,9.752221321119e15
5.817445515e15,3.069488854642e15,9.892309377445e15
5.8809080122e15,3.116237896193e15,1.0033924624969e16
5.9448303792e15,3.163499270231e15,1.0177078162869e16
6.009214276e15,3.211276676482e15,1.0321781130105e16
6.0740613626e15,3.259573834563e15,1.0468044685528e16
6.139373299e15,3.308394523764e15,1.0615880087444e16
6.2051517452e15,3.357742483593e15,1.0765298594159e16
6.2713983612e15,3.40762149334e15,1.0916311463979e16
6.3381148236e15,3.458035332295e15,1.1068930094447e16
6.4053027592e15,3.508987799639e15,1.1223165843324e16
6.4729638612e15,3.560482714444e15,1.1379030108153e16
6.541099773e15,3.612523895782e15,1.1536534405823e16
6.6097121546e15,3.665115202507e15,1.169569019355e16
6.6788026826e15,3.718260453691e15,1.1856509047896e16
6.7483729838e15,3.77196354797e15,1.2019002525532e16
6.8184247514e15,3.826228344198e15,1.2183182282584e16
6.8889596288e15,3.881058760902e15,1.2349059955287e16
6.959979276e15,3.936458656936e15,1.251664725944e16
7.0314853696e15,3.9924320105e15,1.2685955930733e16
7.103479553e15,4.04898272023e15,1.285699778442e16
7.1759634862e15,4.106114724544e15,1.3029784595973e16
7.2489388292e15,4.163832001642e15,1.3204328280101e16
7.3224072586e15,4.222138529724e15,1.3380640731622e16
7.3963704012e15,4.281038306881e15,1.3558733885136e16
7.4708299668e15,4.340535291422e15,1.3738619734916e16
