baryon_density,pressurec2,energy_densityc2
4.1303454008e14,1.78143796e8,4.162180829841e14
4.228330254e14,3.277617259028e12,4.261316380381e14
4.3298059212e14,6.699310341953e12,4.364788308158e14
4.4328922532e14,1.020332057797e13,4.470728152087e14
4.5376019656e14,1.379095243875e13,4.579174958201e14
4.6439477408e14,1.7463520639829e13,4.690168090789e14
4.7519422446e14,2.122235018039e13,4.803747252287e14
4.861598176e14,2.506877588577e13,4.919952423605e14
4.9729282174e14,2.900414360092e13,5.038823864127e14
5.0859450346e14,3.302980869858e13,5.160402211166e14
5.2006613266e14,3.71471366959e13,5.284728320836e14
5.3170897758e14,4.135750405008e13,5.411843447071e14
5.435243048e14,4.566229696491e13,5.541789102388e14
5.5551338422e14,5.006291158968e13,5.674607097669e14
5.6767748408e14,5.456056226994e13,5.810333733989e14
5.8001787096e14,5.915535959965e13,5.948971955216e14
5.9253581476e14,6.385013824522e13,6.09060709374e14
6.0523258372e14,6.864634965292e13,6.235282651178e14
6.1810944608e14,7.354543930172e13,6.383041910346e14
6.3116766842e14,7.854886361064e13,6.533928512098e14
6.444085223e14,8.36580889442e13,6.687986355871e14
6.5783327264e14,8.887459161242e13,6.845259719031e14
6.7144318934e14,9.419985846755e13,7.005793097745e14
6.8523953898e14,9.963538630734e13,7.169631346218e14
6.9922359312e14,1.0518268227286e14,7.336819636911e14
7.1339661668e14,1.108432638485e14,7.507403400868e14
7.2775987956e14,1.1661865826524e14,7.681428427171e14
7.4231465166e14,1.225104034952e14,7.858940783376e14
7.570621979e14,1.28520047456e14,8.039986815513e14
7.7200378652e14,1.3464914840858e14,8.224613267432e14
7.8714068908e14,1.4089927455938e14,8.412867081893e14
8.0247417216e14,1.4727200445816e14,8.604795579585e14
8.18005504e14,1.53768926998e14,8.800446359671e14
8.3373595118e14,1.6039164121639e14,8.99986733957e14
8.4966678526e14,1.6714175609632e14,9.203106735066e14
8.6579927282e14,1.7402089116301e14,9.410213060308e14
8.8213468044e14,1.8103067608609e14,9.621235167592e14
8.9867427968e14,1.881727506796e14,9.836222187688e14
9.1541933546e14,1.9544876490199e14,1.0055223569622e15
9.3237111934e14,2.028603784583e14,1.0278289060785e15
9.495308979e14,2.104092635849e14,1.0505468726824e15
9.6689993772e14,2.180970992811e14,1.073681291186e15
9.8447951036e14,2.259255762819e14,1.0972372318052e15
1.0022708824e15,2.338963972569e14,1.1212197886251e15
1.02027532208e15,2.42011270843e14,1.1456340955128e15
1.03849409764e15,2.502719215899e14,1.1704853062264e15
1.05692847732e15,2.586800800146e14,1.195778614306e15
1.07557972936e15,2.672374865796e14,1.22151923915e15
1.09444912366e15,2.759458956711e14,1.2477124319824e15
1.1135379268e15,2.848070676426e14,1.2743634738637e15
1.13284740536e15,2.938227767713e14,1.30147767768e15
1.1523788309e15,3.029948052908e14,1.329060388143e15
1.17213347e15,3.123249453802e14,1.3571169778118e15
1.19211259256e15,3.218150011532e14,1.3856528510711e15
1.2123174635e15,3.314667846799e14,1.4146734441312e15
1.23274935438e15,3.412821219541e14,1.4441842210498e15
1.25340953178e15,3.512628449369e14,1.4741906796993e15
1.27429926394e15,3.61410797524e14,1.5046983457995e15
1.29541982076e15,3.717278335566e14,1.535712780874e15
1.31677246882e15,3.822158188105e14,1.5672395703156e15
1.33835847636e15,3.92876629007e14,1.5992843313427e15
1.36017911162e15,4.037121458347e14,1.6318527189666e15
1.3822356445e15,4.14724266895e14,1.6649504100787e15
1.40452934158e15,4.259148977457e14,1.6985831173742e15
1.4270614711e15,4.372859499119e14,1.7327565813957e15
1.44983330296e15,4.488393548097e14,1.7674765765005e15
1.47284610374e15,4.605770438552e14,1.8027489029042e15
1.49610114168e15,4.725009643773e14,1.8385793966262e15
1.51959968668e15,4.846130736504e14,1.8749739215333e15
1.54334300698e15,4.969153388944e14,1.9119383733179e15
1.5673323675e15,5.094097352856e14,1.9494786755198e15
1.5915690398e15,5.220982479458e14,1.9876007894717e15
1.61605429212e15,5.349828779096e14,2.02631069043e15
1.64078939104e15,5.480656321789e14,2.065614411335e15
1.6657756048e15,5.61348525712e14,2.105518005018e15
1.6910142116e15,5.7483358938e14,2.146027518343e15
1.7165064498e15,5.885228580322e14,2.187149097629e15
1.7422536308e15,6.024183824307e14,2.228888869304e15
1.768256983e15,6.165222193049e14,2.271252999578e15
1.7945178012e15,6.308364373188e14,2.314247674552e15
1.821037347e15,6.453631190601e14,2.357879159891e15
1.847816882e15,6.601043491056e14,2.40215372126e15
1.8748576678e15,6.750622279449e14,2.447077624324e15
1.9021609992e15,6.902388660131e14,2.492657194421e15
1.9297281212e15,7.056363817017e14,2.538898796671e15
1.957560312e15,7.212569073259e14,2.585808835976e15
1.9856588498e15,7.371025811682e14,2.633393697347e15
2.0140249796e15,7.531755534457e14,2.681659825468e15
2.0426599796e15,7.694779863101e14,2.730613724696e15
2.0715651114e15,7.860120478804e14,2.780261899388e15
2.1007416532e15,8.027799221884e14,2.830610873792e15
2.1301908832e15,8.197837992332e14,2.881667231829e15
2.1599140464e15,8.370258789594e14,2.93343755742e15
2.1899124376e15,8.545083752353e14,2.985928474268e15
2.2201873018e15,8.722335078965e14,3.03914668564e15
2.2507399006e15,8.902035107023e14,3.093098855021e15
2.2815715288e15,9.084206253684e14,3.147791685678e15
2.312683448e15,9.268871055451e14,3.203231980333e15
2.3440769198e15,9.456052128391e14,3.259426482035e15
2.3757532058e15,9.645772188026e14,3.316382013397e15
2.4077135842e15,9.838054069224e14,3.374105436814e15
2.4399593166e15,1.003292074609e15,3.432603614681e15
2.4724916812e15,1.0230395192729e15,3.491883469066e15
2.5053119396e15,1.0430500602047e15,3.551951922037e15
2.53842137e15,1.063326016695e15,3.612815935444e15
2.571821234e15,1.0838697259363e15,3.67448253081e15
2.6055127766e15,1.1046835310884e15,3.736958709767e15
2.6394973092e15,1.1257697892348e15,3.800251553511e15
2.6737760602e15,1.1471308614372e15,3.864368143238e15
2.7083503244e15,1.1687691246701e15,3.929315619817e15
2.7432213634e15,1.1906869638644e15,3.995101104226e15
2.7783904554e15,1.2128867758856e15,4.061731797007e15
2.8138588454e15,1.2353709635665e15,4.129214918593e15
2.8496278116e15,1.2581419456527e15,4.197557709308e15
2.8856986156e15,1.2812021468571e15,4.266767429367e15
2.9220725522e15,1.3045540038272e15,4.336851378767e15
2.9587508498e15,1.328199963156e15,4.407816917178e15
2.9957348198e15,1.352142481382e15,4.47967140427e15
3.0330256906e15,1.3763840249892e15,4.552422239495e15
3.070624757e15,1.4009270723962e15,4.626076842196e15
3.1085332806e15,1.425774109978e15,4.700642671498e15
3.146752523e15,1.4509276340551e15,4.776127226308e15
3.1852837624e15,1.4763901568608e15,4.852538025424e15
3.2241282604e15,1.5021641926175e15,4.929882607535e15
3.2632872952e15,1.5282522694713e15,5.008168571003e15
3.3027621118e15,1.5546569275029e15,5.08740351419e15
3.342554005e15,1.5813807167385e15,5.16759507524e15
3.3826642364e15,1.6084261931716e15,5.248750932079e15
3.423094051e15,1.6357959267194e15,5.330878802415e15
3.4638447436e15,1.6634924972446e15,5.413986403956e15
3.5049175758e15,1.6915184925663e15,5.498081514083e15
3.5463138258e15,1.7198765144273e15,5.583171930068e15
3.5880347386e15,1.7485691725268e15,5.669265469074e15
3.6300815924e15,1.7775990884986e15,5.756369988046e15
3.6724556654e15,1.8069688879547e15,5.84449336382e15
3.7151582026e15,1.8366812163981e15,5.933643552796e15
3.7581904988e15,1.8667366387332e15,6.023822205927e15
3.8015538156e15,1.8971360580114e15,6.115032068171e15
3.8452494146e15,1.9278858075271e15,6.207292095651e15
3.8892785574e15,1.95898860638e15,6.300610483459e15
3.9336425222e15,1.990447137866e15,6.39499528745e15
3.9783425872e15,2.022264125063e15,6.490454603261e15
4.0233799974e15,2.054442253256e15,6.586996566311e15
4.0687560476e15,2.086984267403e15,6.684629312019e15
4.1144719828e15,2.11989287268e15,6.783361055368e15
4.1605290646e15,2.153170833936e15,6.883200011341e15
4.2069286044e15,2.186820876238e15,6.984154414812e15
4.2536718306e15,2.220845784326e15,7.086232580219e15
4.3007600214e15,2.255248323049e15,7.189442782218e15
4.3481944384e15,2.290031257256e15,7.293793375029e15
4.3959763764e15,2.325197411469e15,7.399292752654e15
4.4441070804e15,2.360749570428e15,7.505949289204e15
4.4925878286e15,2.396690538764e15,7.613771438354e15
4.5414198826e15,2.433023140999e15,7.722767653779e15
4.590604504e15,2.469750221546e15,7.832946448827e15
4.640142971e15,2.506874624818e15,7.944316316955e15
4.6900365618e15,2.544399195228e15,8.056885851075e15
4.7402865214e15,2.58232679708e15,8.170663624208e15
4.7908941446e15,2.620660314569e15,8.285658249157e15
4.8418606764e15,2.659402611999e15,8.401878378507e15
4.893187395e15,2.698556593456e15,8.519332704625e15
4.9448755786e15,2.738125182917e15,8.638029919878e15
4.9969264722e15,2.778111264577e15,8.757978756415e15
5.049341354e15,2.818517762413e15,8.879188025949e15
5.1021215022e15,2.859347640184e15,9.00166648052e15
5.1552681784e15,2.900603821867e15,9.125422991514e15
5.2087826442e15,2.942289271221e15,9.250466410426e15
5.2626661778e15,2.984406952005e15,9.376805608642e15
5.3169200408e15,3.026959827978e15,9.504449557003e15
5.3715455114e15,3.069950902681e15,9.633407166677e15
5.4265438512e15,3.113383159764e15,9.763687448287e15
5.4819163218e15,3.157259622659e15,9.895299392565e15
5.5376642014e15,3.201583275016e15,1.0028252089698e16
5.5937887516e15,3.246357180049e15,1.01625545702e16
5.650291234e15,3.29158436119e15,1.0298215983931e16
5.7071729434e15,3.337267861762e15,1.0435245440969e16
