baryon_density,energy_densityc2,pressurec2
1.000000e+01,1.000000e+01,4.351983e-12
1.122018e+01,1.122018e+01,7.311135e-12
1.258925e+01,1.258925e+01,1.217427e-11
1.412538e+01,1.412538e+01,2.009864e-11
1.584893e+01,1.584893e+01,3.290467e-11
1.778279e+01,1.778279e+01,5.343347e-11
1.995262e+01,1.995262e+01,8.608526e-11
2.238721e+01,2.238721e+01,1.376244e-10
2.511886e+01,2.511886e+01,2.183742e-10
2.818383e+01,2.818383e+01,3.439793e-10
3.162278e+01,3.162278e+01,5.379860e-10
3.548134e+01,3.548134e+01,8.355981e-10
3.981072e+01,3.981072e+01,1.289107e-09
4.466836e+01,4.466836e+01,1.975699e-09
5.011872e+01,5.011872e+01,3.008605e-09
5.623413e+01,5.623413e+01,4.552947e-09
6.309573e+01,6.309573e+01,6.848117e-09
7.079458e+01,7.079458e+01,1.023922e-08
7.943282e+01,7.943282e+01,1.522102e-08
8.912509e+01,8.912509e+01,2.249902e-08
1.000000e+02,1.000000e+02,3.307401e-08
1.122018e+02,1.122018e+02,4.835838e-08
1.258925e+02,1.258925e+02,7.033554e-08
1.412538e+02,1.412538e+02,1.017773e-07
1.584893e+02,1.584893e+02,1.465392e-07
1.778279e+02,1.778279e+02,2.099591e-07
1.995262e+02,1.995262e+02,2.993946e-07
2.238721e+02,2.238721e+02,4.249430e-07
2.511886e+02,2.511886e+02,6.004020e-07
2.818383e+02,2.818383e+02,8.445480e-07
3.162278e+02,3.162278e+02,1.182829e-06
3.548134e+02,3.548134e+02,1.649602e-06
3.981072e+02,3.981072e+02,2.291065e-06
4.466836e+02,4.466836e+02,3.169118e-06
5.011872e+02,5.011872e+02,4.366385e-06
5.623413e+02,5.623413e+02,5.992765e-06
6.309573e+02,6.309573e+02,8.193924e-06
7.079458e+02,7.079458e+02,1.116228e-05
7.943282e+02,7.943282e+02,1.515117e-05
8.912509e+02,8.912509e+02,2.049306e-05
9.999999e+02,1.000000e+03,2.762285e-05
1.122018e+03,1.122018e+03,3.710774e-05
1.258925e+03,1.258925e+03,4.968523e-05
1.412537e+03,1.412538e+03,6.631138e-05
1.584893e+03,1.584893e+03,8.822215e-05
1.778279e+03,1.778279e+03,1.170107e-04
1.995262e+03,1.995262e+03,1.547254e-04
2.238721e+03,2.238721e+03,2.039922e-04
2.511886e+03,2.511886e+03,2.681693e-04
2.818382e+03,2.818383e+03,3.515406e-04
3.162277e+03,3.162278e+03,4.595565e-04
3.548133e+03,3.548134e+03,5.991355e-04
3.981071e+03,3.981072e+03,7.790385e-04
4.466835e+03,4.466836e+03,1.010334e-03
5.011871e+03,5.011872e+03,1.306974e-03
5.623412e+03,5.623413e+03,1.686508e-03
6.309571e+03,6.309573e+03,2.170961e-03
7.079455e+03,7.079458e+03,2.787916e-03
7.943279e+03,7.943282e+03,3.571850e-03
8.912505e+03,8.912509e+03,4.565769e-03
9.999995e+03,1.000000e+04,5.823209e-03
1.122018e+04,1.122018e+04,7.410690e-03
1.258925e+04,1.258925e+04,9.410715e-03
1.412536e+04,1.412538e+04,1.192542e-02
1.584892e+04,1.584893e+04,1.508100e-02
1.778278e+04,1.778279e+04,1.903317e-02
1.995260e+04,1.995262e+04,2.397365e-02
2.238718e+04,2.238721e+04,3.013818e-02
2.511883e+04,2.511886e+04,3.781610e-02
2.818379e+04,2.818383e+04,4.736204e-02
3.162272e+04,3.162278e+04,5.920990e-02
3.548127e+04,3.548134e+04,7.388983e-02
3.981064e+04,3.981072e+04,9.204858e-02
4.466826e+04,4.466836e+04,1.144741e-01
5.011860e+04,5.011872e+04,1.421247e-01
5.623397e+04,5.623413e+04,1.761650e-01
6.309554e+04,6.309573e+04,2.180075e-01
7.079433e+04,7.079458e+04,2.693638e-01
7.943251e+04,7.943282e+04,3.323050e-01
8.912471e+04,8.912509e+04,4.093340e-01
9.999952e+04,1.000000e+05,5.034720e-01
1.122012e+05,1.122018e+05,6.183616e-01
1.258918e+05,1.258925e+05,7.583889e-01
1.412528e+05,1.412538e+05,9.288302e-01
1.584882e+05,1.584893e+05,1.136024e+00
1.778265e+05,1.778279e+05,1.387580e+00
1.995244e+05,1.995262e+05,1.692618e+00
2.238699e+05,2.238721e+05,2.062064e+00
2.511859e+05,2.511886e+05,2.508990e+00
2.818349e+05,2.818383e+05,3.049019e+00
3.162236e+05,3.162278e+05,3.700808e+00
3.548082e+05,3.548134e+05,4.486616e+00
3.981008e+05,3.981072e+05,5.432974e+00
4.466757e+05,4.466836e+05,6.571473e+00
5.011775e+05,5.011872e+05,7.939706e+00
5.623293e+05,5.623413e+05,9.582357e+00
6.309426e+05,6.309573e+05,1.155251e+01
7.079277e+05,7.079458e+05,1.391315e+01
7.943060e+05,7.943282e+05,1.673899e+01
8.912237e+05,8.912509e+05,2.011855e+01
9.999667e+05,1.000000e+06,2.415664e+01
1.121978e+06,1.122018e+06,2.897730e+01
1.258876e+06,1.258925e+06,3.472715e+01
1.412477e+06,1.412538e+06,4.157943e+01
1.584819e+06,1.584893e+06,4.973872e+01
1.778190e+06,1.778279e+06,5.944636e+01
1.995153e+06,1.995262e+06,7.098696e+01
2.238589e+06,2.238721e+06,8.469588e+01
2.511726e+06,2.511886e+06,1.009681e+02
2.818189e+06,2.818383e+06,1.202684e+02
3.162043e+06,3.162278e+06,1.431436e+02
3.547851e+06,3.548134e+06,1.702366e+02
3.980730e+06,3.981072e+06,2.023024e+02
4.466424e+06,4.466836e+06,2.402281e+02
5.011377e+06,5.011872e+06,2.850544e+02
5.622818e+06,5.623413e+06,3.380025e+02
6.308860e+06,6.309573e+06,4.005039e+02
7.078602e+06,7.079458e+06,4.742364e+02
7.942257e+06,7.943282e+06,5.611651e+02
8.911283e+06,8.912509e+06,6.635909e+02
9.998534e+06,1.000000e+07,7.842064e+02
1.121843e+07,1.122018e+07,9.261614e+02
1.258717e+07,1.258925e+07,1.093138e+03
1.412289e+07,1.412538e+07,1.289442e+03
1.584597e+07,1.584893e+07,1.520101e+03
1.777927e+07,1.778279e+07,1.790988e+03
1.994843e+07,1.995262e+07,2.108959e+03
2.238223e+07,2.238721e+07,2.482015e+03
2.511295e+07,2.511886e+07,2.919488e+03
2.817682e+07,2.818383e+07,3.432262e+03
3.161446e+07,3.162278e+07,4.033025e+03
3.547149e+07,3.548134e+07,4.736562e+03
3.979906e+07,3.981072e+07,5.560098e+03
4.465457e+07,4.466836e+07,6.523693e+03
5.010241e+07,5.011872e+07,7.650704e+03
5.621486e+07,5.623413e+07,8.968315e+03
6.307297e+07,6.309573e+07,1.050816e+04
