r,P
6.7232e+13,1.6219e+32
1.0101e+14,4.8894e+32
1.3495e+14,1.1392e+33
1.6914e+14,2.2042e+33
2.0361e+14,3.7261e+33
2.3840e+14,5.6869e+33
2.7354e+14,8.1763e+33
3.0906e+14,1.1248e+34
3.4501e+14,1.4940e+34
3.8139e+14,1.9290e+34
4.1826e+14,2.4327e+34
4.5562e+14,3.0074e+34
4.9351e+14,3.6556e+34
5.3196e+14,4.3791e+34
5.7094e+14,5.1338e+34
6.1044e+14,5.8042e+34
6.5034e+14,6.5083e+34
6.9072e+14,7.2675e+34
7.3157e+14,8.0890e+34
7.7290e+14,8.9772e+34
8.1470e+14,9.9344e+34
8.5702e+14,1.0963e+35
8.9983e+14,1.2064e+35
9.4318e+14,1.3239e+35
9.8708e+14,1.4491e+35
1.0315e+15,1.5819e+35
1.0765e+15,1.7225e+35
1.1221e+15,1.8709e+35
1.1683e+15,2.0268e+35
1.2150e+15,2.1874e+35
1.2624e+15,2.3544e+35
1.3103e+15,2.5287e+35
1.3588e+15,2.7083e+35
1.4079e+15,2.8934e+35
1.4577e+15,3.0852e+35
1.5080e+15,3.2841e+35
1.5589e+15,3.4899e+35
1.6105e+15,3.7033e+35
1.6627e+15,3.9244e+35
1.7154e+15,4.1527e+35
1.7689e+15,4.3885e+35
1.8230e+15,4.6317e+35
1.8776e+15,4.8749e+35
1.9330e+15,5.1224e+35
1.9889e+15,5.3760e+35
2.0454e+15,5.6366e+35
2.1026e+15,5.9038e+35
2.1604e+15,6.1779e+35
2.2188e+15,6.4596e+35
2.2779e+15,6.7487e+35
2.3376e+15,7.0449e+35
2.3979e+15,7.3485e+35
2.4589e+15,7.6599e+35
2.5206e+15,7.9790e+35
2.5829e+15,8.3053e+35
2.6459e+15,8.6392e+35
2.7095e+15,8.9810e+35
2.7737e+15,9.3301e+35
2.8387e+15,9.6874e+35
2.9043e+15,1.0052e+36
2.9706e+15,1.0424e+36
3.0375e+15,1.0804e+36
3.1052e+15,1.1192e+36
3.1735e+15,1.1587e+36
3.2425e+15,1.1990e+36
3.3122e+15,1.2401e+36
3.3825e+15,1.2820e+36
3.4536e+15,1.3246e+36
3.5254e+15,1.3680e+36
3.5979e+15,1.4122e+36
3.6710e+15,1.4571e+36
3.7449e+15,1.5029e+36
3.8195e+15,1.5493e+36
3.8948e+15,1.5966e+36
3.9704e+15,1.6445e+36
4.0471e+15,1.6930e+36
4.1245e+15,1.7422e+36
4.2026e+15,1.7921e+36
4.2814e+15,1.8427e+36
4.3609e+15,1.8941e+36
