r,P
5.041e+13,3.581e+31
1.009e+14,3.148e+32
1.518e+14,1.237e+33
2.031e+14,3.124e+33
2.549e+14,6.126e+33
3.073e+14,1.040e+34
3.604e+14,1.624e+34
4.144e+14,2.389e+34
4.694e+14,3.360e+34
5.256e+14,4.561e+34
5.839e+14,5.711e+34
6.438e+14,6.924e+34
7.050e+14,8.313e+34
7.676e+14,9.883e+34
8.315e+14,1.149e+35
8.967e+14,1.321e+35
9.631e+14,1.508e+35
1.031e+15,1.710e+35
1.100e+15,1.928e+35
1.170e+15,2.164e+35
1.242e+15,2.416e+35
1.315e+15,2.685e+35
1.390e+15,2.972e+35
1.466e+15,3.260e+35
1.543e+15,3.556e+35
1.621e+15,3.863e+35
1.701e+15,4.182e+35
1.782e+15,4.512e+35
1.865e+15,4.856e+35
1.949e+15,5.191e+35
2.034e+15,5.517e+35 
2.120e+15,5.847e+35 
2.208e+15,6.183e+35 
2.296e+15,6.525e+35 
2.386e+15,6.875e+35 
2.476e+15,7.232e+35 
2.569e+15,7.597e+35 
2.662e+15,7.969e+35 
2.756e+15,8.346e+35 
2.852e+15,8.727e+35
