r,P,G
3.4951E11,6.2150E29,1.177
3.6883E11,6.4304E29,0.527
3.8650E11,6.5813E29,0.476
4.4199E11,6.9945E29,0.447
5.1080E11,7.4685E29,0.466
5.9119E11,8.0149E29,0.504
6.8224E11,8.6443E29,0.554
7.8339E11,9.3667E29,0.610
8.9426E11,1.0191E30,0.668
1.0146E12,1.1128E30,0.726
1.2831E12,1.3370E30,0.840
1.7543E12,1.7792E30,0.987
2.1141E12,2.1547E30,1.067
2.7232E12,2.8565E30,1.160
3.4178E12,3.7461E30,1.227
4.4827E12,5.2679E30,1.286
5.7153E12,7.2304E30,1.322
7.5106E12,1.0405E31,1.344
9.6148E12,1.4513E31,1.353
1.2593E13,2.0894E31,1.351
1.6774E13,3.0720E31,1.342
2.1042E13,4.1574E31,1.332
2.7844E13,6.0234E31,1.322
3.6043E13,8.4613E31,1.320
4.0688E13,9.9286E31,1.325
4.7001E13,1.2023E32,1.338
5.3843E13,1.4430E32,1.358
6.1153E13,1.7175E32,1.387
6.7284E13,1.9626E32,1.416
7.5224E13,2.3024E32,1.458
8.1738E13,2.6018E32,1.496
8.8350E13,2.9261E32,1.536
9.5022E13,3.2756E32,1.576
1.0173E14,3.6505E32,1.615
1.0845E14,4.0509E32,1.650
1.1351E14,4.3681E32,1.672
1.1859E14,4.6998E32,1.686
1.2372E14,5.0462E32,1.685
1.2720E14,5.2856E32,1.662
1.2845E14,5.3739E32,1.644
1.3038E14,5.3739E32,2.159
1.3531E14,5.8260E32,2.217
1.4381E14,6.6828E32,2.309
1.5232E14,7.6443E32,2.394
1.6935E14,9.9146E32,2.539
1.8641E14,1.2701E33,2.655
2.0350E14,1.6063E33,2.708
2.2063E14,1.9971E33,2.746
2.7223E14,3.5927E33,2.905
3.2424E14,5.9667E33,2.990
3.7675E14,9.2766E33,3.025
4.2983E14,1.3668E34,3.035
4.8358E14,1.9277E34,3.032
5.3808E14,2.6235E34,3.023
5.9340E14,3.4670E34,3.012
6.4963E14,4.4702E34,2.999
7.0684E14,5.6451E34,2.987
7.6510E14,7.0033E34,2.975
8.2450E14,8.5561E34,2.964
8.8509E14,1.0315E35,2.953
9.4695E14,1.2289E35,2.943
1.0102E15,1.4491E35,2.933
1.0748E15,1.6930E35,2.924
1.1408E15,1.9616E35,2.916
1.2085E15,2.2559E35,2.908
1.2777E15,2.5769E35,2.900
1.3486E15,2.9255E35,2.893
1.4706E15,3.5702E35,2.881
1.5977E15,4.2981E35,2.869
1.7302E15,5.1129E35,2.858
1.8683E15,6.0183E35,2.847
2.0123E15,7.0176E35,2.836
2.1624E15,8.1139E35,2.824
2.4820E15,1.0609E36,2.801
2.8289E15,1.3524E36,2.778
3.2048E15,1.6876E36,2.754
3.6113E15,2.0679E36,2.731
4.0498E15,2.4947E36,2.708
