baryon_density,pressurec2,energy_densityc2
45.1858898794,1.8926511248488865e-7,45.1859
212.325895062,6.4724522735723066e-6,212.326
1150.807801256,0.00021138237029912248,1150.81
10447.25661778,0.010840994556152825,10447.3
26242.289778,0.055343881378140614,26242.4
65917.4711336,0.2704384973242804,65917.8
165576.3230804,1.2795809439633428,165578.
416192.258148,5.8623194888347445,416201.
1.045409306716e6,25.767306323117722,1.04545e6
2.6258708838e6,108.6598467641179,2.62605e6
6.59708141048e6,435.18080257374726,6.59786e6
8.30510324338e6,585.1526783291024,8.30621e6
1.656992444536e7,1596.8642339475925,1.65731e7
3.30587848292e7,4265.488634388833,3.30676e7
6.59693553134e7,11193.593358916216,6.59938e7
1.316388582864e8,28978.080589871646,1.31705e8
2.62608042892e8,74296.65116795234,2.62786e8
3.30658159086e8,97223.02810294836,3.30905e8
5.23981327154e8,181288.52423304025,5.24448e8
8.30502341398e8,337030.60317908943,8.31386e8
1.045437377316e9,459483.3050980704,1.04665e9
1.316300223222e9,560362.8350802278,1.31796e9
1.658896117762e9,839651.3509503587,1.66117e9
2.15654853584e9,1.181890269041835e6,2.1598e9
2.65422815916e9,1.5485307155126235e6,2.65854e9
3.31779795356e9,2.0694734717569277e6,3.32363e9
4.14722364668e9,2.764323431762412e6,4.15511e9
4.97660753104e9,3.5007308713614997e6,4.9867e9
6.6353200782e9,5.077611910302369e6,6.65017e9
8.29421773528e9,6.770631362094116e6,8.31425e9
9.95289083254e9,8.560896428784948e6,9.97844e9
1.16118224748e10,1.0435155448207268e7,1.16432e10
1.327050617282e10,1.2383683858871168e7,1.3308e10
1.393406257434e10,1.3182232804100849e7,1.39741e10
1.658801879064e10,1.6474786849974718e7,1.66384e10
1.99055460978e10,2.0788308587283384e7,1.99698e10
2.48817050736e10,2.7610856200992964e7,2.4968e10
3.3174661843e10,3.9749311987509914e7,3.33007e10
4.14684143002e10,5.26646200431635e7,4.16373e10
4.97616669812e10,6.621847796598626e7,4.99762e10
6.63473081306e10,9.487222106451827e7,6.66596e10
8.29338036986e10,1.2518982105687287e8,8.33514e10
9.9519896783e10,1.5685139105193466e8,1.00049e11
1.326898481768e11,2.23366724052876e8,1.33458e11
1.658598862724e11,2.932444855232114e8,1.66883e11
2.48781769428e11,4.784862554054102e8,2.50503e11
3.31705875722e11,6.743404815222484e8,3.3419e11
3.71503404124e11,7.71115445447624e8,3.74372e11
4.14623156594e11,8.775849293113947e8,4.1792e11
4.64375405532e11,1.0022573680922027e9,4.6818e11
4.975362209e11,1.086323643077334e9,5.01687e11
5.8045421026e11,1.2988186634325097e9,5.85495e11
6.63373465702e11,1.5057715738584828e9,6.69334e11
7.46300185998e11,1.670165619640405e9,7.53205e11
