baryon_density,pressurec2,energy_densityc2
13.1539389337923,3.3629524760203463e-7,13.1539385974971
41.5964072335506,2.1443194092501656e-6,41.596407944503
131.539389337923,0.0000136728239892592,131.539402900331
415.964072335505,0.00008718202849576133,415.964187366207
1315.39389337923,0.0005558987739918645,1315.39471714112
4159.64072335506,0.0035445773889131605,4159.64626143521
13153.9389337923,0.02260128903644299,13153.9751491694
41596.4072335505,0.1441126007592863,41596.6410089334
131539.389337923,0.9189051856342345,131540.888989075
415964.072335506,5.859215195178354,415973.663113957
1.04482098850688e6,25.791228299322874,1.04486325851251e6
2.62454050811663e6,108.53901296803046,2.62472478464343e6
8.29897122615874e6,585.1426644785979,8.30008727028092e6
1.65562761945507e7,1596.6528304369426,1.65594494101982e7
3.30403402223709e7,4264.787664853519,3.3049228967418e7
6.59368003592957e7,11193.2595638994,6.59613043862763e7
1.31541481699142e8,28973.407459636222,1.31607982634955e8
3.30395122897774e8,97223.36189796518,3.30641238650719e8
5.23729494468915e8,181250.69413113443,5.24196707777672e8
4.1593401880666e9,2.621403532062325e6,4.16720075909265e9
2.52558276119228e10,2.7849630903022066e7,2.53421273076634e10
6.59267278794846e10,9.000226303417718e7,6.62299501485532e10
1.08653693529064e11,1.6634118338001594e8,1.09233809328053e11
1.69240235729648e11,2.8895521955712473e8,1.70264171719397e11
3.30407027116395e11,6.471172726007844e8,3.32805937249056e11
5.07636239815506e11,1.0938462701063123e9,5.11764997812403e11
5.67330018261957e11,1.2050000107060688e9,5.72079219812336e11
2.094256e12,2.3974270757787313e9,2.11612045205871e12
3.145202e12,3.813274272106961e9,3.17954564310344e12
4.436516e12,5.861329230284857e9,4.48689206462486e12
5.986292e12,8.676000077083696e9,6.05674822742162e12
7.818102e12,1.2402710174829685e10,7.91328380428794e12
1.2443858e13,2.3247710271184303e10,1.26053243371807e13
1.858702e13,3.987849065901774e10,1.8843140312793e13
2.655834e13,6.410088237930501e10,2.69458822602757e13
3.664118e13,9.804338498927669e10,3.72058329651097e13
4.893182e13,1.4405480275726196e11,4.97256160958574e13
1.66e14,2.452725783564596e12,1.70180145492997e14
1.992e14,4.1458453738613877e12,2.04856176703222e14
2.324e14,6.327863398788139e12,2.39854254027577e14
2.656e14,9.098362038361648e12,2.75204680449895e14
2.988e14,1.2515087830491102e13,3.10940596163283e14
3.32e14,1.6622991837441059e13,3.47093551949717e14
3.652e14,2.1463019581274297e13,3.83693074027254e14
3.984e14,2.7067437913616375e13,4.20766661831871e14
4.316e14,3.346183778575652e13,4.58339642984022e14
4.648e14,4.067403544909608e13,4.96435477474267e14
5.312e14,5.7121228577680664e13,5.74247776151452e14
5.976e14,7.241460359813766e13,6.54068247754624e14
6.64e14,9.000226303417719e13,7.35713142443639e14
7.304e14,1.1053510716859067e14,8.19259898821694e14
7.968e14,1.3423010276230853e14,9.0481331742598e14
8.632e14,1.6123411962272984e14,9.92476085042317e14
9.296e14,1.9165397215523575e14,1.08234489323841e15
9.96e14,2.2551191336094738e14,1.17450735825342e15
1.0624e15,2.619623291972639e14,1.26901359998381e15
1.1288e15,3.0133901468100144e14,1.3658889804297e15
1.1952e15,3.432747952936624e14,1.46515609953916e15
1.2616e15,3.8830374306215225e14,1.56683833184192e15
1.328e15,4.36648387997682e14,1.67097702708054e15
1.3944e15,4.879526820823144e14,1.77760673653971e15
1.4608e15,5.4240577582557844e14,1.88675411520589e15
1.5272e15,5.981606701344252e14,1.99840758459282e15
1.5936e15,6.568863400929352e14,2.11254952471545e15
1.66e15,7.187274302083954e14,2.22920296197699e15
1.7264e15,7.838508379892136e14,2.34839530772178e15
1.7928e15,8.522788164365111e14,2.47015560682782e15
1.8592e15,9.240892510542116e14,2.59451257050142e15
1.9256e15,9.992710153417546e14,2.72149410284233e15
1.992e15,1.0778686153013822e15,2.85112672513271e15
2.0584e15,1.1598264184302918e15,2.98343505386616e15
